ID,unitnumber,picture,filename,datetaken,takenby,description
193,7,DSC_2466s.JPG,DSC_2466s.JPG,19 May 2022,Amr Abotawila,Inscription panels mounted on the N. wall
194,7,DSC_2467s.JPG,DSC_2467s.JPG,19 May 2022,Amr Abotawila,Inscription panels mounted on the N. wall
195,7,DSC_2470s.JPG,DSC_2470s.JPG,19 May 2022,Amr Abotawila,Inscription panels mounted on the N. wall
196,7,DSC_2471s.JPG,DSC_2471s.JPG,19 May 2022,Amr Abotawila,"Marble inscription panel, looking N."
197,7,DSC_2472s.JPG,DSC_2472s.JPG,19 May 2022,Amr Abotawila,"View of the courtyard, looking SE."
122,5,DSC_2643s.jpg,DSC_2643s.jpg,23 May 2022,Amr Abutawila,"View of the couryard, looking N"
40,6,DSC_4883s.JPG,DSC_4883s.JPG,18 August 2022,Hadeer Ahmad,"Gate to the mausoleum, W façade"
41,6,DSC_4884s.JPG,DSC_4884s.JPG,18 August 2022,Hadeer Ahmad,View of the central skylight
42,6,DSC_4885s.JPG,DSC_4885s.JPG,18 August 2022,Hadeer Ahmad,"View of a marble cenotaph, looking W"
43,6,DSC_4886s.JPG,DSC_4886s.JPG,18 August 2022,Hadeer Ahmad,"View of a marble cenotaph, looking W"
44,6,DSC_4887s.JPG,DSC_4887s.JPG,18 August 2022,Hadeer Ahmad,View of a marble cenotaph
45,6,DSC_4889s.JPG,DSC_4889s.JPG,18 August 2022,Hadeer Ahmad,Newly built marble cenotaph
46,6,DSC_4890s.JPG,DSC_4890s.JPG,18 August 2022,Hadeer Ahmad,Modern brick-built cenotaph
47,6,DSC_4891s.JPG,DSC_4891s.JPG,18 August 2022,Hadeer Ahmad,"Mausoleum, painted ceiling"
48,6,DSC_4893s.JPG,DSC_4893s.JPG,18 August 2022,Hadeer Ahmad,Newly built marble cenotaph
49,6,DSC_4895s.JPG,DSC_4895s.JPG,18 August 2022,Hadeer Ahmad,Window in the E. wall of the mausoleum
50,6,DSC_4897s.JPG,DSC_4897s.JPG,18 August 2022,Hadeer Ahmad,"Mausoleum, painted ceiling"
51,6,DSC_4898s.JPG,DSC_4898s.JPG,18 August 2022,Hadeer Ahmad,"Mausoleum, painted ceiling"
52,6,DSC_4899s.JPG,DSC_4899s.JPG,18 August 2022,Hadeer Ahmad,"Entrance in W wall, view from inside the mausoleum"
53,6,DSC_4900s.JPG,DSC_4900s.JPG,18 August 2022,Hadeer Ahmad,"Entrance in W wall, view from inside the mausoleum"
54,6,DSC_4901s.JPG,DSC_4901s.JPG,18 August 2022,Hadeer Ahmad,"Entrance in W wall, view from inside the mausoleum"
55,6,DSC_4902s.JPG,DSC_4902s.JPG,18 August 2022,Hadeer Ahmad,"Interior of the mausoleum, looking E"
86,6,DSC_4903s.JPG,DSC_4903s.JPG,18 August 2022,Hadeer Ahmad,"Interior of the mausoleum, looking E"
56,6,DSC_4904s.JPG,DSC_4904s.JPG,18 August 2022,Hadeer Ahmad,Mausoleum ceiling
57,6,DSC_4905s.JPG,DSC_4905s.JPG,18 August 2022,Hadeer Ahmad,"Interior of the mausoleum, looking E"
58,6,DSC_4906s.JPG,DSC_4906s.JPG,18 August 2022,Hadeer Ahmad,"Western façade, upper part"
59,6,DSC_4907s.JPG,DSC_4905s.JPG,18 August 2022,Hadeer Ahmad,"Entrance in E wall, view from inside the mausoleum"
60,6,DSC_4908s.JPG,DSC_4906s.JPG,18 August 2022,Hadeer Ahmad,View of the entrance to the mausoleum from outside
61,6,DSC_4909s.JPG,DSC_4907s.JPG,18 August 2022,Hadeer Ahmad,"Western façade, central part"
62,6,DSC_4910s.JPG,DSC_4908s.JPG,18 August 2022,Hadeer Ahmad,Engaged column in the NW corner
63,6,DSC_4911s.JPG,DSC_4911s.JPG,18 August 2022,Hadeer Ahmad,"Mausoleum, corner view fromNW"
64,6,DSC_4912s.JPG,DSC_4912s.JPG,18 August 2022,Hadeer Ahmad,"View of the mausoleum, looking SW"
65,6,DSC_4913s.JPG,DSC_4913s.JPG,18 August 2022,Hadeer Ahmad,"View of the mausoleum, looking SW"
66,6,DSC_4914s.JPG,DSC_4914s.JPG,18 August 2022,Hadeer Ahmad,"View of the mausoleum, looking SW"
67,6,DSC_4915s.JPG,DSC_4915s.JPG,18 August 2022,Hadeer Ahmad,Window in the S. wall of the mausoleum
68,6,DSC_4916s.JPG,DSC_4916s.JPG,18 August 2022,Hadeer Ahmad,Window in the S. wall of the mausoleum
69,6,DSC_4917s.JPG,DSC_4917s.JPG,18 August 2022,Hadeer Ahmad,"SE corner, damage to the wall from rising damp"
70,6,DSC_4918s.JPG,DSC_4918s.JPG,18 August 2022,Hadeer Ahmad,Window in the E. wall of the mausoleum
71,6,DSC_4919s.JPG,DSC_4919s.JPG,18 August 2022,Hadeer Ahmad,Window in the E. wall of the mausoleum
72,6,DSC_4920s.JPG,DSC_4920s.JPG,18 August 2022,Hadeer Ahmad,Window in the E. wall of the mausoleum
73,6,DSC_4921s.JPG,DSC_4921s.JPG,18 August 2022,Hadeer Ahmad,Massive plant overgrowth by  N corner of mausoleum
74,6,DSC_4922s.JPG,DSC_4922s.JPG,18 August 2022,Hadeer Ahmad,Space between the mausoleum and S wall of enclosure
75,6,DSC_4923s.JPG,DSC_4923s.JPG,18 August 2022,Hadeer Ahmad,"Modern brick-built cenotaph, Looking N"
76,6,DSC_4924s.JPG,DSC_4924s.JPG,18 August 2022,Hadeer Ahmad,"Modern brick-built cenotaph, Looking W"
77,6,DSC_4925s.JPG,DSC_4925s.JPG,18 August 2022,Hadeer Ahmad,Space between the mausoleum and E wall of enclosure
78,6,DSC_4926s.JPG,DSC_4926s.JPG,18 August 2022,Hadeer Ahmad,Iron gate in the E wall of the perimeter wall
79,6,DSC_4927s.JPG,DSC_4927s.JPG,18 August 2022,Hadeer Ahmad,Door to the mausoleum in the E façade
80,6,DSC_4928s.JPG,DSC_4928s.JPG,18 August 2022,Hadeer Ahmad,"Gate, W façade of the perimeter wall"
81,6,DSC_4929s.JPG,DSC_4929s.JPG,18 August 2022,Hadeer Ahmad,Marble panel over the W gate
82,6,DSC_4930s.JPG,DSC_4930s.JPG,18 August 2022,Hadeer Ahmad,Street view of the W façade of perimeter wall
83,6,DSC_4931s.JPG,DSC_4931s.JPG,18 August 2022,Hadeer Ahmad,"Blocked sabil window, NW corner"
84,6,DSC_4932s.JPG,DSC_4932s.JPG,18 August 2022,Hadeer Ahmad,"Gate, E façade of the perimeter wall"
85,6,DSC_4933s.jpg,DSC_4933s.JPG,18 August 2022,Hadeer Ahmad,"Gate, E façade of the perimeter wall"
199,7,DSC_9850s.JPG,DSC_9850s.JPG,15 February 2023,Jaroslaw Dobrowolski,Inscription panel over the sabil
198,7,DSC_9852s.JPG,DSC_9852s.JPG,15 February 2023,Jaroslaw Dobrowolski,"Sabil window grille, detail"
135,5,IMG_2620s.JPG,IMG_2620s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking N"
112,5,IMG_2621s.JPG,IMG_2621s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking NW"
113,5,IMG_2625s.JPG,IMG_2625s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking NE"
114,5,IMG_2628s.JPG,IMG_2628s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking SE"
115,5,IMG_2629s.JPG,IMG_2629s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking SW"
116,5,IMG_2630s.JPG,IMG_2630s.jpg,18 August 2022,Amr Abutawila,"Gate in the N wall, view from inside"
117,5,IMG_2631s.JPG,IMG_2631s.jpg,18 August 2022,Amr Abutawila,Marble inscription panel installed on W wall
118,5,IMG_2632s.JPG,IMG_2632s.jpg,18 August 2022,Amr Abutawila,"View of a marble cenotaph, looking N"
119,5,IMG_2633s.JPG,IMG_2633s.jpg,18 August 2022,Amr Abutawila,"View of a marble cenotaph, looking N"
110,5,IMG_2634s.JPG,IMG_2634s.jpg,18 August 2022,Amr Abutawila,"Detail of a marble cenotaph, S side"
121,5,IMG_2635s.JPG,IMG_2635s.jpg,18 August 2022,Amr Abutawila,"Detail of a marble cenotaph, S side"
109,5,IMG_2636s.JPG,IMG_2636s.jpg,18 August 2022,Amr Abutawila,Inscription on the marble shahid on cenotaph
123,5,IMG_2637s.JPG,IMG_2637s.jpg,18 August 2022,Amr Abutawila,Marble shahid on cenotaph
124,5,IMG_2638s.JPG,IMG_2638s.jpg,18 August 2022,Amr Abutawila,"Marble cenotaph, W side"
126,5,IMG_2639s.JPG,IMG_2639s.jpg,18 August 2022,Amr Abutawila,"Marble cenotaph, N side"
128,5,IMG_2640s.JPG,IMG_2640s.jpg,18 August 2022,Amr Abutawila,"Marble cenotaph, detail, N side"
129,5,IMG_2641s.JPG,IMG_2641s.jpg,18 August 2022,Amr Abutawila,"Marble cenotaph, detail, N side"
130,5,IMG_2642s.JPG,IMG_2642s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
131,5,IMG_2643s.JPG,IMG_2643s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
132,5,IMG_2644s.JPG,IMG_2644s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
133,5,IMG_2645s.JPG,IMG_2645s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
134,5,IMG_2646s.JPG,IMG_2646s.jpg,18 August 2022,Amr Abutawila,Inscription on limestone cenotaph
120,5,IMG_2647s.JPG,IMG_2647s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
98,5,IMG_2648s.JPG,IMG_2648s.jpg,18 August 2022,Amr Abutawila,Inscription on limestone cenotaph
87,5,IMG_2649s.JPG,IMG_2649s.jpg,18 August 2022,Amr Abutawila,"Funerary courtyard, view looking NE"
88,5,IMG_2650s.JPG,IMG_2650s.jpg,18 August 2022,Amr Abutawila,Limestone cenotaph
89,5,IMG_2651s.JPG,IMG_2651s.jpg,18 August 2022,Amr Abutawila,Inscription on limestone cenotaph
90,5,IMG_2652s.JPG,IMG_2652s.jpg,18 August 2022,Amr Abutawila,"Limestone cenotaph, looking E"
91,5,IMG_2653s.JPG,IMG_2653s.jpg,18 August 2022,Amr Abutawila,"Limestone cenotaph, SW corner of courtyard"
92,5,IMG_2654s.JPG,IMG_2654s.jpg,18 August 2022,Amr Abutawila,"View of a Limestone tombmarker, lookinge"
93,5,IMG_2655s.JPG,IMG_2655s.jpg,18 August 2022,Amr Abutawila,"Damaged marble cenotaph, S side"
94,5,IMG_2656s.JPG,IMG_2656s.jpg,18 August 2022,Amr Abutawila,Attempts to repair the marble cenotaph with cement
95,5,IMG_2657s.JPG,IMG_2657s.jpg,18 August 2022,Amr Abutawila,Attempts to repair the marble cenotaph with cement
111,5,IMG_2658s.JPG,IMG_2658s.jpg,18 August 2022,Amr Abutawila,"Damaged, incomplete shahid on a marble cenotaph"
97,5,IMG_2659s.JPG,IMG_2659s.jpg,18 August 2022,Amr Abutawila,"Damaged, incomplete shahid on a marble cenotaph"
127,5,IMG_2660s.JPG,IMG_2660s.jpg,18 August 2022,Amr Abutawila,Attempts to repair the marble cenotaph with cement
99,5,IMG_2662s.JPG,IMG_2662s.jpg,18 August 2022,Amr Abutawila,"Damaged marble cenotaph, N side"
100,5,IMG_2663s.JPG,IMG_2663s.jpg,18 August 2022,Amr Abutawila,View of a richly decoraetd marble cenotaph
101,5,IMG_2664s.JPG,IMG_2664s.jpg,18 August 2022,Amr Abutawila,Attempts to repair the marble cenotaph with cement
102,5,IMG_2665s.JPG,IMG_2665s.jpg,18 August 2022,Amr Abutawila,Calligraphic inscriptions on a marble cenotaph
103,5,IMG_2666s.JPG,IMG_2666s.jpg,18 August 2022,Amr Abutawila,Attempts to repair the marble cenotaph with cement
104,5,IMG_2667s.JPG,IMG_2667s.jpg,18 August 2022,Amr Abutawila,"Seriously damaged marble cenotaph, looking E"
105,5,IMG_2668s.JPG,IMG_2668s.jpg,18 August 2022,Amr Abutawila,"Damaged marble cenotaph, looking S"
106,5,IMG_2669s.JPG,IMG_2669s.jpg,18 August 2022,Amr Abutawila,"Damaged marble cenotaph, looking S"
107,5,IMG_2670s.JPG,IMG_2670s.jpg,18 August 2022,Amr Abutawila,"Partially damaged marble cenotaph, looking S"
108,5,IMG_2671s.JPG,IMG_2671s.jpg,18 August 2022,Amr Abutawila,"View of the couryard, looking SW"
96,5,IMG_2672s.JPG,IMG_2672s.jpg,18 August 2022,Amr Abutawila,"Open fronted seating area, looking NW"
152,5,IMG_2674s.JPG,IMG_2674s.jpg,18 August 2022,Amr Abutawila,Open-fronted seating area overlooking the courtyard
125,5,IMG_2675s.JPG,IMG_2675.jpg,18 August 2022,Amr Abutawila,Open-fronted seating area overlooking the courtyard
136,5,IMG_2678s.JPG,IMG_2678s.jpg,18 August 2022,Amr Abutawila,Open-fronted seating area overlooking the courtyard
153,5,IMG_2679s.JPG,IMG_2679s.jpg,18 August 2022,Amr Abutawila,"View of two rooms, SW. corner"
154,5,IMG_2681s.JPG,IMG_2681s.jpg,18 August 2022,Amr Abutawila,"View of two rooms, SW. corner"
151,5,IMG_2684s.JPG,IMG_2684s.jpg,18 August 2022,Amr Abutawila,Window of the room in SW corner
150,5,IMG_2685s.JPG,IMG_2685s.jpg,18 August 2022,Amr Abutawila,Door of the W room in SW corner
149,5,IMG_2686s.JPG,IMG_2686s.jpg,18 August 2022,Amr Abutawila,Door of the E room in SW corner
148,5,IMG_2688s.JPG,IMG_2688s.jpg,18 August 2022,Amr Abutawila,"Main gateway, S side"
147,5,IMG_2689s.JPG,IMG_2689s.jpg,18 August 2022,Amr Abutawila,Street view of S wall of the enclosure
146,5,IMG_2691s.JPG,IMG_2691s.jpg,18 August 2022,Amr Abutawila,Street corner view showing the S and W elevations
144,5,IMG_2692s.JPG,IMG_2692s.jpg,18 August 2022,Amr Abutawila,Street view of the W elevation
143,5,IMG_2693s.JPG,IMG_2693s.jpg,18 August 2022,Amr Abutawila,Street view of the W elevation
142,5,IMG_2694s.JPG,IMG_2694s.jpg,18 August 2022,Amr Abutawila,SW corner of the enclosure
141,5,IMG_2695s.JPG,IMG_2695s.jpg,18 August 2022,Amr Abutawila,Unused gate in the N wall of the enclosure
140,5,IMG_2696s.JPG,IMG_2696s.jpg,18 August 2022,Amr Abutawila,"Northern gate, W. end of the N. wall"
139,5,IMG_2698s.JPG,IMG_2698s.jpg,18 August 2022,Amr Abutawila,N wall of the enclosure
137,5,IMG_2699s.JPG,IMG_2699s.jpg,18 August 2022,Amr Abutawila,"Gate of the school E of the current enclosure, S. side"
145,5,IMG_2700s.JPG,IMG_2700s.jpg,18 August 2022,Amr Abutawila,"Unused gate of the primary school, E. side"
138,5,IMG_2702s.JPG,IMG_2702s.jpg,18 August 2022,Amr Abutawila,"Faded sign of the primary school, E. side"
