parent_uuid	parent_concept	uuid	concept
		5b2ee01a-4dab-45d3-a98e-819d2be86165	Anchorage
		247f4d09-c48f-4307-ba86-bddba78c8ea8	Temple/Sanctuary/Shrine
		ce67a6e7-5d98-450e-9743-0f80b749f435	Production/Processing (Knapping Floor/Stone Processing)
		f6e0dd69-8828-410d-b367-b46b987ddcaa	Terrace/Retaining Wall
		b63727a3-5163-4bc3-af28-d40f400e2284	Boundary/Barrier
		ef4b6cf3-db4b-43d1-a1f6-d6859fe706ad	Canal
		5bc6c970-46d5-405f-bba1-e9b69eeb4cab	Battlefield
		2807bfe5-0d8f-491f-8070-8b156a862167	Tell
		b5ed0128-71ab-42b1-9ad3-0aebae7d3f12	Standing Stone
		7d7267f9-9629-4e53-8495-362a2f265404	Fountain
		0f82fff5-8382-457b-b2f3-28d31eac6718	Altar
		e04312b3-78b6-42fa-93d7-0319ce8d032b	Inscription/Rock Art/Relief
		72c4b57b-e40e-495d-9f0d-b6309140c4df	Portico/Stoa
		2cceef5e-2147-453d-9a1e-30b1abcee6d0	Burnt Area
		44902cd4-fc08-4fca-8f4a-e5d8164ff83b	Managed Site
		4c39a2af-515c-4fe4-b209-25ab9a1d28bd	Midden/Waste Deposit
		a0fa0385-7b0d-4496-965e-a97a1dca5011	Fish Pond
		1779649d-03b0-4e29-a8bd-9d5ced3370b2	Basin/Tank
		ab3d858f-4fe5-41e7-96bc-bb1502888ab1	Crossbar Arrangement (Gate)
		7aa3bef9-c549-4c39-aa2f-f5ec93c964bc	Shell Midden
		60a65e53-efea-41de-ae9d-1ab1570e5df7	Road/Track
		aeeef4e1-92d1-49a7-8fdb-81ed0dfaef54	Gathering Area
		7394b6df-8e83-4afe-9da2-7ed2e9cfb52e	Landing Place
		64aa0411-9748-4bda-86d5-53d452e37da1	Sculpture/Statue
		e799573f-4659-4505-a483-6f1860599d62	Reservoir/Birka
		fca234e1-1bd8-4241-b7f2-4c1a12e96854	Production/Processing (Animal/'Kill site')
		4a82764d-8398-4c0c-9d8f-2b99d6801b25	Farm
		93991e40-c3f1-4c0e-92d2-776d762b6f52	Watchtower/Observation Post
		1b8a29d0-7006-4c81-a868-f8c33aeaac4b	Press/Press Element
		6c629b23-03f5-4d3d-98de-aba04bac963e	Pendant
		24f8615c-4774-4484-b0d4-bec8d382d290	Circus/Hippodrome
		8249ecd1-ff59-4d66-8c0e-566938fa6f8e	Production/Processing (Agricultural)
		876ef2ff-cfca-44b1-a153-5c8edbe8d7e1	Clearance Pile
		43c81e02-3c1b-4788-b038-7f557cd6c1bc	Field System
		360a0c46-40fb-4dad-932f-663bdcd60eb7	Fish Trap/Weir
		82865e19-ac79-44a8-ab55-4c14f9ad9f6b	Disturbance Cause Type
		056abf64-a78b-480e-a692-d6b115be66d3	Occupation/Continued Use
		f74a600a-b3c8-49e3-a27f-21373bd0a7aa	Theft/Unauthorised Removal of Objects
		4de7c8b0-e67b-4348-8a6b-2f9a3cf0e1a7	Precipitation
		345552da-a074-441e-8713-132d4274c690	Irrigation (Centre Pivot System)
		d39d9ab3-b7a5-4bd3-99da-bf16d485a8b0	Radiation/Light
		e5f7ee58-ae06-4345-9b2f-ddf20cd5750a	Cable/Pipe Laying
		8b9d58ed-0383-4ecc-8a85-86d3c5bc57bc	Temperature/Humidity Change
		87e61e92-3773-4f08-a856-4d52ba4b1d2e	Graffiti
		77469d7e-b93d-4147-b61f-7da5cf3952e4	Grazing/Animal Movement
		72a9f99a-3394-4d50-a42d-e5ed6453552b	Excavation (Bulldozing/Machinery)
		0c70128f-30ab-4144-8801-413251baca58	Road/Track
		d4352f10-e294-43a7-9a3e-8aadd5007360	Water Action
		9a6d509c-10e1-4288-9b40-2f799e2bd27b	Mining/Quarrying (Surface)
		6583ee43-7f87-4e19-b8f6-7add9d89dbc1	Excavation (Hand)
		b052250b-6c1d-4aee-a2bf-bfe824d5fdf6	Salvage
		f9c7efcf-b73e-4ac9-b4c4-eaa48e7b8b3a	Clearance (Unclassified)
		679cba5a-d514-49cf-a7cc-b0a1df572b04	Vegetation/Crops/Trees
		cd03ecc3-1d5a-4155-951c-9f6213245a91	Dissolved Salt
		1a2c0992-db65-4c05-b6e5-ff86b9be996c	Structural Robbing
		f73ac9a1-b121-45a9-b5bd-f0bee85a3276	Recession of Water
		6f93cad5-a04a-4a1e-aba0-7fb5f6d2796d	Coastal Erosion/Retreat
		baaf4fc2-815b-4adc-addb-d8f58de14ac9	Wind Action
		f24cf79d-b1be-4ca2-9fb5-db5d8cdb6c2b	Trees
		72d0bcdc-551a-485a-95b2-00d23a923f2b	Unknown
		f6fc548f-71a9-42f2-a0fe-27be455fb891	Clearance (Bulldozing/Levelling)
		efc336a5-0398-4512-8326-88560c480c37	Conservation
		3c9cba6e-1e6f-4701-b9b6-e59646f7f569	Drilling
		15d890d8-1122-4523-9b64-695a2cdba297	Land/Rock Slide
		2cc0a538-391f-4fdd-a256-ea3790358b63	Gunfire/Light Weaponry
		e4f3ba62-b7f3-4454-bfa0-9b878596d9f2	Refurbishment
		a6299100-32c1-4214-a4aa-e7b2fecf46f0	Inundation
		34bf186c-9696-4104-9eb2-ee52c15b9265	Landscaping
		87c8a9ec-9bcb-454d-ad21-04fc669dacc5	Lack of Maintenance/Management/Legal Measures and Activities
		d2d5cd3b-0457-454b-9b91-bf2758ebbe6a	Demolition/Destruction
		7f255d59-38a6-4bcb-b497-0511d25588dd	Restoration
		6274d848-a988-4940-9caf-35a66dedf673	Volcanic Eruption
		084b4bfb-a32c-4468-a805-0a536cd836ce	Maintenance/Management Activities
		12eec7db-808e-4570-8b4d-49eea604c72d	Railway
		f97eacbc-4151-4e5b-922f-f0aeed7203b6	Reconstruction
		95405580-2b98-4fdc-8ca1-07992c22d61a	Mooring/Anchoring
		6c7f3039-b1f6-4cb0-9457-c5e894596756	Flooding
		24ea6121-d517-4670-afc5-47364b1cad55	Construction
		c1cb2e14-5858-43be-b892-9416e3689546	Animal/Pest Infestation
		60137f92-499a-4e84-bb4d-2698a21eb4ff	Ploughing
		e8419571-1257-42e1-a988-45d54ae51f96	Tunneling
		f10a9baa-e52e-4aca-afe3-d365bc6709c2	Dumping
		327294ec-9017-45b3-9497-a421bac9bcfa	Clearance (Hand)
		970d7a21-fab0-42a5-8ac8-f8a742be12d7	Mining/Quarrying (Unclassified)
		4a3304be-3c6a-4f59-88af-a6a92d389926	Irrigation (Channels)
		54d2cd61-e141-41db-97cb-ac1aaee8b3a6	Landmines
		8599b514-2d2e-42f0-8cdf-1865e80c464f	Pollution
		0330d05c-44f4-477c-ab17-d019c2f9de7c	Seismic Activity
		3a74f455-7368-4383-87c1-74d037ccc894	Stationary Vehicle
		95d40598-03fe-4810-b733-9c98809c7a69	Trawling
		6fbfce5a-48de-4086-9fe5-5621699cc546	Breaking/Smashing
		057acd34-22d7-45df-8ab6-6af884d95b1f	Mining/Quarrying (Underground)
		81c512a9-f9bd-4200-a277-3a8e429aea0d	Drought
		d1900422-25ca-4033-a49d-70864c771e12	No Visible/Known
		61a97ded-89ca-4c47-88e3-6b6e62f4e416	Explosion/Heavy Weaponry
		e2ba7ca3-1db3-4139-8a1b-ef1a3e271522	Dredging
		d4a3a45c-819f-4d95-96d7-55962cafb719	Land Reclamation
		b33ac0c2-1403-4733-b14e-939c341f81fd	Irrigation (Unclassified)
		cc0b9e60-c8fb-4203-ba50-51fd0b79d5ff	Human Movement/Trampling
		06a74a70-3ea0-4495-b774-374c1f865cec	Mining/Quarrying (Open Trench/Pit)
		827ff71c-26e8-4408-a95c-94e67948107f	Coastal Advance/Accretion
		9c1af2f8-c213-4831-b634-5005e4614cf6	Excavation (Unclassified)
		5c8ceaf9-f7a6-480f-a9e7-5b2c01466171	Aquaculture
		4c829676-f070-49ef-943d-ad0878eb8ec6	Fire
		637dfbf9-57ae-45cf-9e64-fe453b67f7bb	Water and/or Wind Action
		4471e2b8-742e-47e1-926b-d12aadacbfd3	Sudan
		d12f35fc-290b-43a4-9d21-0ff7544cc449	UNOSAT
		a3c72529-1910-4662-a438-0fd6c778fd7a	Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)
		16ec6d0f-70a7-42c9-ad62-e66eeb91f3cf	Roman Imperial (Levant/Mesopotamia)
		1e3c3162-9d83-4333-b388-7fd07d60eb19	Nabataean (Levant/Northern Arabia)
		e1965db4-9ae6-40b1-ae71-39717a1de890	Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)
		b56ee481-d0f1-4699-b41d-2894e74cc924	Parthian (Levant/Mesopotamia/Iran/Northern Arabia)
		2c6034dc-26df-4ae8-9ab1-324f6ca9a3b6	Byzantine (Levant/Mesopotamia)
		c4eedf30-2da6-4598-a60a-9a9da1852547	Roman/Byzantine (Levant/Mesopotamia)
		b7c20476-8c0f-4db9-bf26-fe76b878f39d	Sasanian (Levant/Mesopotamia/Iran/Northern Arabia)
		01c1bfa2-2825-482a-b21c-2a9973ca8be5	Roofing (Flat)
		9d3996bf-1b83-40fb-86ee-1997d29b901d	Slight Damage 
		fcf2bb2f-e6b3-440f-8476-ca0c514b0b96	Archaeological Survey
		591277ab-865b-428c-8ac3-14ed20f45d77	Aquatic Vegetation
		c4f1baf3-1c8b-42bd-a7e2-26d0d3013377	Geoarch Feature Sediment Type
		9d62bbe0-27bd-438a-9cf5-934b35ecc7c2	Organic sediment/deposit
		83e3e056-96ca-4129-b482-2b1a2d5aa2ea	Mixed Sediment
		ae9e2158-55c8-4da0-b22b-8c7580ac2f74	Sand
		f6244d46-e396-4e6b-bb4a-214a037c886d	Rock and Boulders
		90f94316-fe41-4bd9-8717-f2fb1c465d20	Palaeontological Remains (Micro)
		900786aa-ad09-4c89-94ab-9b7e81d7db7e	Archaeological Deposit/Artefact Bearing Deposit
		4c7b2d86-cbcf-43a2-b081-4690910f1ee1	Coarse Sediment
		03b9e5ac-a1f3-4e3c-8880-dd55667e2d1d	Palaeontological Remains (Macro)
		508741c9-5d12-457a-89bf-409540508510	Mud (Clay and Silt)
		1ed55635-765e-4c53-93cf-4d6c9b0d72ab	50000 BC
		9a060e84-3810-44c3-b0ee-4991bf575f95	AD 150
		ea4fc608-af55-40c6-8501-66b6c848e5ad	Conservation Activity
		16a8b4b3-576e-45f4-ac54-46ef17bd1def	Shoring
		44e90a74-2bcc-440a-a8e9-26df530b96d5	Remedial Conservation (Other)
		6c455809-8867-49ff-808c-53250e74fe13	Repointing
		c07181d6-d844-45f7-bd67-8201b729914f	Adhesion
		ab99d34f-0d18-4b68-98b0-ec4ba4928e73	Improving/Removal of Previous Conservation/Restoration
		4bce5f62-fc74-46f5-9e15-66cc594301f5	Structural Strengthening/Reinforcement
