Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
GEOMETRYCOLLECTION (POINT (35.905868 33.702398)),27/02/2017,,,,EAMENA-0115804,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Medium,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Low,,,E35N33-42,,,,,,,,,"E35N33-42_000047, Tell asch-Schalma, Tell Chelma, MAR000150, Li05139",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,952dbc64-f4eb-49dd-b996-d351e1cd83b7
GEOMETRYCOLLECTION (POINT (35.954038 33.614292)),27/02/2017,,,,EAMENA-0115981,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000224, Bonatz_2002_9",,,,,,"Designation, Alternative Reference",,None,,,,,,,982b1f56-c50f-4fec-ab64-074274642ec1
GEOMETRYCOLLECTION (POINT (35.857108 33.602452)),27/02/2017,,,,EAMENA-0115971,,,"Definite, Possible, Possible",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,"Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,,,"Definite, Possible, Possible",Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None",,,Low,,,E35N33-42,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Roman Imperial (Levant/Mesopotamia), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)",,,,,,,,"E35N33-42_000214, Bonatz_2002_56",,,,,,"Designation, Alternative Reference",,None,,,,,,,a8dd47c5-5887-4cc6-a8c0-04418f4b33ac
GEOMETRYCOLLECTION (POINT (35.884172 33.676925)),27/02/2017,,,,EAMENA-0115860,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000103, Schqif al-Maschnaqa, Chqif el Machnaqa, Khirab Haroun, Li05109, MAR000123",,,,,,"Designation, Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,c0b2b4ab-a00c-48f3-b7f0-dd06482e40b8
GEOMETRYCOLLECTION (POINT (35.854428 33.733458)),27/02/2017,,,,EAMENA-0115785,,,"Probable, Definite, Definite, Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Chalcolithic (Levant), Neolithic (Levant/Mesopotamia), Islamic (Levant/Arabia), Islamic (Levant/Arabia), Neolithic (Levant/Mesopotamia)",Unknown,,,"Probable, Definite, Definite, Definite",Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None, None",,,Negligible,,Definite,E35N33-42,"Chalcolithic, Late (Levant), Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia)",,,,,,,,"MAR000118, Li05136, Mkhadir al-Ghazayil, Mkhadet el Ghzaiyel, Mkhadet el Ghzaiyel, Tell el Waqf, Haql al-Waqfa, E35N33-42_000028",,,,,,"Alternative Reference, Alternative Reference, Toponym, Toponym, Toponym, Toponym, Toponym, Designation",,None,,,,,,,c4624aae-1d80-4812-aa6a-2897a4c45b6e
GEOMETRYCOLLECTION (POINT (35.937405 33.725284)),27/02/2017,,,,EAMENA-0115799,,,"Not Applicable, Possible, Possible, Definite, Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,"Unknown, Bronze Age (Levant), Bronze Age (Levant), Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,,,"Possible, Possible, Definite, Definite, Definite",Low,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None, None, None",,,Low,,,E35N33-42,"Middle Bronze Age 2 (Levant), Late Bronze Age (Levant), Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran), Roman Imperial (Levant/Mesopotamia)",,,,,,,,"E35N33-42_000042, Andjar I, Anjar, MAR000154, Li05279",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,cc15435d-e674-4a62-bf43-ca4d4cbe516e
GEOMETRYCOLLECTION (POINT (35.85113 33.510993)),27/02/2017,,,,EAMENA-0116027,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Agricultural/Pastoral,,,,Medium,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000270,,,,,,Designation,,None,,,,,,,d614bb05-a5b0-4c7d-865d-b54f0a2f771d
GEOMETRYCOLLECTION (POINT (35.836416 33.577443)),27/02/2017,,,,EAMENA-0115905,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000148, Rafid II, MAR000500, Li05268",,,,,,"Designation, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,e502271e-fd65-4734-bff8-9e6033910128
GEOMETRYCOLLECTION (POINT (35.762641 33.749723)),27/02/2017,,,,EAMENA-0115913,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,"Agricultural/Pastoral, Domestic",,,,"Medium, Medium",,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000156,,,,,,Designation,,None,,,,,,,f68667f6-1658-4541-99ed-4904ac754d80
GEOMETRYCOLLECTION (POINT (35.9452 33.603817)),27/02/2017,,,,EAMENA-0115767,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000010, Yanta, Crow_March2016_1302, MAR00096, Li05544",,,,,,"Designation, Toponym, Alternative Reference, Alternative Reference, Alternative Reference",,None,,,,,,,fc5ec7d1-67ad-4b98-806e-6ace1143eb6f
GEOMETRYCOLLECTION (POINT (35.769638 33.625973)),27/02/2017,,,,EAMENA-0115886,,,"Probable, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Bronze Age (Levant), Chalcolithic (Levant)",Unknown,,,"Probable, Definite",Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None",,,Negligible,,Definite,E35N33-42,"Early Bronze Age 1 (Southern Levant), Chalcolithic, Late (Levant)",,,,,,,,"ar-Rundjussiya, Er Rounjoussi, MAR000062, Li05058, E35N33-42_000129",,,,,,"Toponym, Toponym, Alternative Reference, Alternative Reference, Designation",,None,,,,,,,87aac43d-5057-495d-a3eb-f89bb10dc7fa
GEOMETRYCOLLECTION (POINT (35.791964 33.620886)),27/02/2017,,,,EAMENA-0115894,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000137, Djubb Djannin IV, Jub Jannine IV, MAR000059, Li05088",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,63293b3e-6615-45e3-a9c2-111329fd22dd
GEOMETRYCOLLECTION (POINT (35.753469 33.629859)),27/02/2017,,,,EAMENA-0115890,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Low,,,E35N33-42,,,,,,,,,"E35N33-42_000133, al-Hamrat I, El Hamrat I, MAR000043, Li05039",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,bcd94040-a9e0-42aa-bf7e-cf5387a5b5e9
GEOMETRYCOLLECTION (POINT (35.750113 33.590132)),27/02/2017,,,,EAMENA-0115892,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,"MAR000032, E35N33-42_000135, Tell Ba'lul, Ba'lul, Baaloul, Li05460",,,,,,"Alternative Reference, Designation, Toponym, Toponym, Toponym, Alternative Reference",,None,,,,,,,ecff5f0e-59ce-4e56-87fa-4e470cc679de
GEOMETRYCOLLECTION (POINT (35.845065 33.603963)),27/02/2017,,,,EAMENA-0115897,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,"E35N33-42_000140, Tell Haql al-Djawz, Tell Haql al-Jawz, MAR000067, Li05271, Bonatz_2002_57",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference, Alternative Reference",,None,,,,,,,bb56240d-fc15-4ccd-b779-a564e88e6f7d
GEOMETRYCOLLECTION (POINT (35.786079 33.524754)),27/02/2017,,,,EAMENA-0115900,,,"Definite, Possible, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Chalcolithic (Levant), Neolithic (Levant/Mesopotamia), Neolithic (Levant/Mesopotamia)",Domestic,,,"Definite, Possible, Definite",Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None",,,Negligible,,Definite,E35N33-42,"Chalcolithic, Early (Levant), Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia), Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)",,,,,,,,"Kawkaba, Kaukaba, Kaukabet el Arab, MAR000024, Li05260, E35N33-42_000143",,,,,,"Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference, Designation",,None,,,,,,,aa1e9701-d4be-4bb7-b37f-be9fcb88ecc6
GEOMETRYCOLLECTION (POINT (35.752406 33.533081)),27/02/2017,,,,EAMENA-0115898,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000141, Majdal Bal'is, Mejdel Balhiss, MAR000410, Li05265",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,c00ae8cb-9ae4-4b8d-9d1a-90345a8c78a3
GEOMETRYCOLLECTION (POINT (35.755064 33.571385)),27/02/2017,,,,EAMENA-0115896,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Low,,,E35N33-42,,,,,,,,,"E35N33-42_000139, Dommale, Tell Ed Dommale, Li05090",,,,,,"Designation, Toponym, Toponym, Alternative Reference",,None,,,,,,,f2099742-f90c-48fc-8dd0-1ce6c5b4ab20
GEOMETRYCOLLECTION (POINT (35.781372 33.618114)),27/02/2017,,,,EAMENA-0115895,,,"Definite, Possible, Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Chalcolithic (Levant), Neolithic (Levant/Mesopotamia), Neolithic (Levant/Mesopotamia), Neolithic (Levant/Mesopotamia)",Domestic,,,"Definite, Definite, Definite",Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None",,,High,,Definite,E35N33-42,"Chalcolithic, Early (Levant), Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia), Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)",,,,,,,,"Djubb Djannin III, Jub Jannine III, Joubb Jannine III, MAR000058, Li05087, E35N33-42_000138",,,,,,"Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference, Designation",,None,,,,,,,2ac51cf1-b45c-4fd3-ade5-5cfec5bf6d7b
GEOMETRYCOLLECTION (POINT (35.886252 33.585122)),27/02/2017,,,,EAMENA-0115904,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Religious,,,,Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000147, Mdukha I, Mdouka I, Jabal al Qsair, MAR000098, Li05269, Bonatz_2002_29",,,,,,"Designation, Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference, Alternative Reference",,None,,,,,,,07dfcd71-97b5-4cba-8c56-8c7eb7f75184
GEOMETRYCOLLECTION (POINT (35.886283 33.603072)),27/02/2017,,,,EAMENA-0115903,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000146, Mdukha II, Mdoukha II, MAR000419, Li05267",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,137cb224-5ce9-45db-a4d2-df91b8686b8a
GEOMETRYCOLLECTION (POINT (35.876719 33.606079)),27/02/2017,,,,EAMENA-0115902,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Defensive/Fortification,,,,Low,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,"E35N33-42_000145, Kasr Ben el Malak, Qasr Bin al-Malak, Li04841",,,,,,"Designation, Toponym, Toponym, Alternative Reference",,None,,,,,,,72e4449d-e470-4e17-bd16-768f6d49896d
GEOMETRYCOLLECTION (POINT (35.793636 33.510437)),27/02/2017,,,,EAMENA-0115901,,,"Probable, Definite, Definite, Possible",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Chalcolithic (Levant), Neolithic (Levant/Mesopotamia), Palaeolithic (Levant/Mesopotamia/Arabia), Neolithic (Levant/Mesopotamia)",Unknown,,,"Probable, Definite, Definite",Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None",,,Low,,Definite,E35N33-42,"Chalcolithic, Early (Levant), Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia), Palaeolithic, Upper (Levant/Arabia/Mesopotamia)",,,,,,,,"Ard Sauda, Ard Saouda, Ard es Saoude-Terres noires, MAR000025, Li05252, E35N33-42_000144",,,,,,"Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference, Designation",,None,,,,,,,b845163c-d0fb-417a-9096-5f26ab68e7d0
GEOMETRYCOLLECTION (POINT (35.835514 33.584665)),27/02/2017,,,,EAMENA-0115906,,,"Not Applicable, Definite, Possible, Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,"Unknown, Palaeolithic (Levant/Mesopotamia/Arabia), Neolithic (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,,,"Definite, Possible, Definite, Definite",Medium,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None, None",,,Negligible,,,E35N33-42,"Palaeolithic, Upper (Levant/Arabia/Mesopotamia), Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia), Byzantine (Levant/Mesopotamia)",,,,,,,,"E35N33-42_000149, al-Bira I, El Bire I, MAR000082, Li05249",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,588de6a8-cba4-401e-8439-4a1d3aad001f
