Grouping	التصنيف الأشمل	Cultural Period	العصر	Start Date	End Date	Sub-Period	عصر فرعي	Unnamed: 8	Unnamed: 9
						Bronze Age, Early Dynastic (Southern Mesopotamia)	العصر البرونزي، الأسرات المبكرة (جنوب بلاد الرافدين)	-2900	-2350
						Bronze Age, Early Dynastic I (Southern Mesopotamia)	العصر البرونزي، الأسرات المبكرة 1 (جنوب بلاد الرافدين)	-2900	-2750
						Bronze Age, Early Dynastic II (Southern Mesopotamia)	العصر البرونزي، الأسرات المبكرة 2 (جنوب بلاد الرافدين)	-2750	-2600
						Bronze Age, Early Dynastic III (Southern Mesopotamia)	العصر البرونزي، الاسرات المبكرة 3 (جنوب بلاد الرافدين)	-2600	-2350
						Bronze Age, Akkadian (Southern Mesopotamia)	العصر البرونزي، أكدية (جنوب بلاد الرافدين)	-2400	-2150
						Bronze Age, Ur III Period (Southern Mesopotamia)	العصر البرونزي، عصر أور 3 (جنوب بلاد الرافدين)	-2150	-2000
						Bronze Age, Old Babylonian (Southern Mesopotamia)	العصر البرونزي، بابلي قديم (جنوب بلاد الرافدين)	-1900	-1550
						Bronze Age, Kassite (Southern Mesopotamia)	العصر البرونزي، كيشي (جنوب بلاد الرافدين)	-1550	-1100
						Bronze Age, Middle Babylonian (Southern Mesopotamia)	العصر البرونزي، بابلي وسيط (جنوب بلاد الرافدين)	-1400	-1100
		Bronze Age (Central Zagros, Iran)	العصر البرونزي (وسط زاغروس، إيران)	-2900	-1200	Early Bronze Age (Central Zagros, Iran)	العصر البرونزي المبكر (وسط زاغروس، إيران)	-2900	-2100
						Middle Bronze Age (Central Zagros, Iran)	العصر البرونزي الوسيط (وسط زاغروس، إيران)	-2100	-1400
						Late Bronze Age (Central Zagros, Iran)	العصر البرونزي المتأخر (وسط زاغروس، إيران)	-1400	-1200
		Bronze Age (Khuzestan, Iran)	االعصر البرونزي (خوزستان، إيران)	-3100	-1100	Bronze Age, Susa III/Proto-Elamite (Khuzestan)	العصر البرونزي، شوشان 3/ بروتو إيلامي (خوزستان)	-3100	-2675
						Bronze Age, Susa IV/ Old Elamite I (Khuzestan)	العصر البرونزي، شوشان 4/ عيلامي قديم 1 (خوزستان)	-2675	-2200
						Bronze Age, Susa V/ Old Elamite II (Khuzestan)	العصر البرونزي، شوشان 5/ عيلامي قديم 2 (خوزستان)	-2200	-1800
						Bronze Age, Susa VI/ Old Elamite III (Khuzestan)	العصر البرونزي، شوشان 6/ عيلامي قديم 3 (خوزستان)	-1900	-1500
						Bronze Age, Middle Elamite (Khuzestan)	العصر البرونزي، عيلامي وسيط (خوزستان)	-1500	-1100
		Bronze Age (Northwest Iran)	العصر البرونزي (شمال غرب إيران)	-3100	-1250	Early Bronze Age/Early Transcaucasian (Northwest Iran)	العصر البرونزي المبكر/ جنوب القوقاز مبكر (شمال غرب إيران)	-3100	-1600
						Middle Bronze Age I (Northwest Iran)	العصر البرونزي الوسيط 1 (شمال غرب إيران)	-2100	-1900
						Middle Bronze Age II (Northwest Iran)	العصر البرونزي الوسيط 2 (شمال غرب إيران)	-1900	-1600
						Middle Bronze Age III (Northwest Iran)	العصر البرونزي الوسيط 3 (شمال غرب إيران)	-1600	-1450
						Late Bronze Age (Northwest Iran)	العصر البرونزي المتأخر (شمال غير إيران)	-1450	-1250
		Bronze Age (Northeast Iran)	العصر البرونزي (شمال شرق إيران)	-3100	-1500	Early Bronze Age (Northeast Iran)	العصر البرونزي المبكر (شمال شرق إيران)	-3100	-2200
						Middle Bronze Age (Northeast Iran)	العصر البرونزي الوسيط (شمال شرق إيران)	-2200	-1800
						Late Bronze Age (Northeast Iran)	العصر البرونزي المتأخر (شمال شرق إيران)	-1800	-1500
		Bronze Age (Southern Iran)	العصر البرونزي (جنوب إيران)	-2900	-1000	Bronze Age, Late Banesh/Yayha IVB (Southern Iran)	"العصر البرونزي، بانش/ يحيى "" IVB"" (جنوب إيران)"	-2900	-2300
						Bronze Age, Kaftari/Yahya IVA (Southern Iran)	"العصر البرونزي، كفتري/ يحيى ""IVA"" (جنوب إيران)"	-2300	-1500
						Bronze Age, Qaleh/Shogha-Teimuran (Southwest Iran)	العصر البرونزي/ قلعة/ شوغة - تيموران (جنوب غرب إيران)	-1500	-1000
		Bronze Age (Arabia)	العصر البرونزي (الجزيرة العربية)	-3200	-1500	Early Bronze Age (Arabia)	العصر البرونزي المبكر (الجزيرة العربية)	-3200	-2000
						Late Bronze Age (Arabia)	العصر البرونزي المتأخر (الجزيرة العربية)	-2000	-1500
DYNASTIC EGYPT	مصر في عصر الأسرات	Dynastic Egypt	مصر في عصر الأسرات	-3000	-350	Early Dynastic (Egypt)	عصر الأسرات المبكرة (مصر)	-3000	-2700
						Old Kingdom (Egypt)	المملكة القديمة (مصر)	-2700	2150
						First Intermediate (Egypt)	الفترة الانتقالية الأولى (مصر)	-2150	-2050
						Middle Kingdom (Egypt)	المملكة الوسطى (مصر)	-2050	-1650
						Second Intermediate/New Kingdom (Egypt)	الفترة الانتقالية الثانية/ المملكة الحديثة (مصر)	-1650	-1550
						New Kingdom (Egypt)	المملكة الحديثة (مصر)	-1550	-1050
						Third Intermediate (Egypt)	الفترة الانتقالية الثالثة (مصر)	-1050	-650
						Late Dynastic (Egypt)	عصر الأسرات المتأخرة (مصر)	-650	-350
IRON AGE	العصر الحديدي	Iron Age (Levant/Mesopotamia)	العصر الحديدي (الشام/ بلاد الرافدين)	-1200	-330	Iron Age (Northern Levant)	العصر الحديدي (شمال الشام)	-1200	-330
						Iron Age, Early (Northern Levant)	العصر الحديدي، مبكر (شمال الشام)	-1200	-900
						Iron Age, Middle (Northern Levant)	العصر الحديدي، وسيط (شمال الشام)	-900	-550
						Iron Age, Late (Northern Levant)	العصر الحديدي، متأخر (شمال الشام)	-550	-330
						Iron Age (Southern Levant)	العصر الحديدي (جتوب الشام)	-1200	-550
						Iron Age 1 (Southern Levant)	العصر الحديدي 1 (جنوب الشام)	-1200	-1000
						Iron Age 2 (Southern Levant)	العصر الحديدي 2 (جنوب الشام)	-1000	-700
						Iron Age 3 (Southern Levant)	العصر الحديدي 3 (جنوب الشام)	-700	-550
						Iron Age, Middle Assyrian (Mesopotamia)	العصر الحديدي، آشوري وسيط (بلاد الرافدين)	-1200	-950
						Iron Age, Late/Neo-Assyrian (Mesopotamia)	العصر الحديدي، متأخر/ آشوري حديث (بلاد الرافدين)	-950	-600
						Iron Age, Neo-Babylonian (Mesopotamia)	العصر الحديدي، بابلي حديث (بلاد الرافدين)	-650	-550
						Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia)	العصر الحديدي، بعد الآشوري/ أخميني/ فارسي (الشام/ بلاد الرافدين)	-550	-330
		Iron Age (Iran)	العصر الحديدي (إيران)	-1400	-330	Early Iron Age (North Central Iran)	العصر الحديدي المبكر (شمال وسط إيران)	-1400	-800
						Iron Age I (Northwest Iran)	العصر الحديدي 1 (شمال غرب إيران)	-1250	-1050
						Iron Age II (Northwest Iran)	العصر الحديدي 2 (شمال غرب إيران)	-1050	-800
						Iron Age III/Late Iron Age (Northern Iran)	العصر الحديدي 3/ العصر الحديدي المتأخر (شمال إيران)	-800	-550
						Iron Age, Neo-Elamite I (Khuzestan/Southwest Iran)	العصر الحديدي، عيلامي حديث 1 (خوزستان/ جنوب غرب إيران)	-1100	-725
						Iron Age, Neo-Elamite II (Khuzestan/Southwest Iran)	العصر الحديدي، عيلامي حديث 2 (خوزستان/ جنوب غرب إيران)	-725	-520
						Median (Central Zagros)	وسيط (وسط زاغروس)	-800	-585
						Iron Age, Yahya III (Southeast Iran)	العصر الحديدي، يحيى 3 (جنوب شرق إيران)	-800	-650
						Iron Age, Pre-Achaemenid (Southeast Iran)	العصر الحديدي، قبل الأخميني (جنوب شرق إيران)	-650	-500
						Achaemenid/Iron Age IV (Iran)	"أخميني/ العصر الحديدي ""IV"" (جنوب شرق إيران)"	-550	-330
		Iron Age (Arabia)	العصر الحديدي (الجزيرة العربية)	-1500	-100	Early Iron Age (Arabia)	العصر الحديدي المبكر (الجزيرة العربية)	-1500	-1000
						Middle Iron Age (Arabia)	العصر الحديدي الوسيط (الجزيرة العربية)	-1000	-600
						Late Iron Age (Arabia)	العصر الحديدي المتأخر (الجزيرة العربية)	-600	-100
						Proto South Arabian (Southern Arabia)	الجنوب العربي البدائي (جنوب الجزيرة العربية)	-1200	-800
		Iron Age (Maghreb)	العصر الحديدي (المغرب)	-1000	-500	Iron Age, Early (Maghreb)	العصر الحديدي، مبكر (المغرب)	-1000	-800
						Iron Age, Late/Punic, Early (Maghreb)	العصر الحديدي، متأخر/ بونيقي، مبكر (المغرب)	-800	-500
CLASSICAL/PRE-ISLAMIC	العصر الكلاسيكي/ماقبل الأسلام	Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)	العصر الكلاسيكي/ماقبل الأسلام (الشام/بلاد الرافدين/إيران/شمال اجزيرة العربية/	-330	640	Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)	بعد الأخميني/ هلنستي/ سيلوقي (الشام/ بلاد الرافدين/ إيران)	-330	-50
						Post-Achaemenid/Hellenistic/Seleucid, Early (Levant/Mesopotamia/Iran)	بعد الأخميني/ هلنستي/ سيلوقي، مبكر (الشام/ بلاد الرافدين/ إيران)	-330	-160
						Hellenistic/Seleucid, Late (Levant/Mesopotamia)	هلنستي/ سيلوقي، متأخر (الشام/ بلاد الرافدين)	-160	-50
						Parthian (Levant/Mesopotamia/Iran)	بارثي (الشام/ بلاد الرافدين/ إيران)	-250	225
						Sasanian (Levant/Mesopotamia/Iran)	ساساني (الشام/ بلاد الرافدين/ إيران)	225	640
						Nabataean (Levant/Northern Arabia)	نبطي (الشام/ شمال الجزيرة العربية)	-100	400
						Roman/Byzantine (Levant/Mesopotamia)	روماني/ بيزنطي (الشام/ بلاد الرافدين)	-50	640
						Roman Imperial (Levant/Mesopotamia)	الإمبراطورية الرومانية (الشام/ بلاد الرافدين)	-50	400
						Roman Imperial, Early (Levant/Mesopotamia)	الامبراطورية الرومانية، مبكر (الشام/ بلاد الرافدين)	-50	200
						Roman Imperial, Late (Levant/Mesopotamia)	الامبراطورية الرومانية، متأخر (الشام/ بلاد الرافدين)	200	400
						Byzantine (Levant/Mesopotamia)	بيزنطي (الشام/ بلاد الرافدين)	400	640
		South Arabian Period (Southern Arabia)	عصر جنوب الجزيرة العربية (جنوب الجزيرة العربية)	-800	640	Early South Arabian (Southern Arabia)	الجنوب العربي المبكر (جنوب الجزيرة العربية)	-800	-100
						Middle South Arabian (Southern Arabia)	الجنوب العربي الوسيط (جنوب الجزيرة العربية)	-100	300
						Late South Arabian (Southern Arabia)	الجنوب العربي المتأخر (جنوب الجزيرة العربية)	300	640
		Classical/Protohistoric/Pre-Islamic (North Africa)	عصر جنوب الجزيرة العربية (جنوب الجزيرة العربية)	-500	640	Protohistoric, Early (North Africa)	فجر التاريخ، مبكر (شمال أفريقيا)	-500	-50
						Protohistoric, Early (Mauritania)	فجر التاريخ، مبكر (موريتانيا)	-300	1
						Protohistoric, Middle (North Africa)	فجر التاريخ، وسيط (شمال أفريقيا)	-50	300
						Protohistoric, Late (Mauritania)	فجر التاريخ، متأخر (موريتانيا)	1	640
						Protohistoric, Late (North Africa)	فجر التاريخ، متأخر (شمال أفريقيا)	300	640
						Punic, Late (Maghreb)	بونيقي، متأخر (المغرب)	-500	-150
						Roman, Republican (Maghreb)	روماني/ جمهوري (المغرب)	-150	-50
						Classical (Cyrenaica)	كلاسيكي (برقة)	-500	-350
						Hellenistic/Ptolemaic (Cyrenaica/Egypt)	هلنستي/ بطليمي (برقة/ مصر)	-350	-30
						Roman/Late Antique (North Africa)	روماني/ كلاسيكي متأخر (شمال أفريقيا)	-50	640
						Roman Imperial (North Africa)	روماني إمبراطوري (شمال أفريقيا)	-50	430
						Roman Imperial, Early (North Africa)	روماني إمبراطوري، مبكر (شمال أفريقيا)	-50	200
						Roman Imperial, Late (North Africa)	روماني امبراطوري، متأخر (شمال أفريقيا)	200	430
						Vandal (Maghreb)	وندال (المغرب)	430	530
						Byzantine (Maghreb)	بيزنطي (المغرب)	530	640
						Byzantine (Cyrenaica/Egypt)	بيزنطي (برقة/ مصر)	400	640
ISLAMIC	إسلامي	Islamic (Levant/Arabia)	إسلامي (الشام/ الجزيرة العربية)	640	1900	Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)	إسلامي، مبكر (أموي، عباسي/ فاطمي) (الشام/ الجزيرة العربية)	640	1070
						Islamic, Middle (Fatimid/Ayyubid) (Levant/Arabia)	إسلامي، وسيط (فاطمي/ أيوبي) (الشام/ الجزيرة العربية)	1070	1300
						Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)	إسلامي، متأخر (مملوكي/ رسولي) (الشام/ الجزيرة العربية)	1300	1500
						Islamic, Late (Ottoman) (Levant/Arabia)	إسلامي، متأخر (عثماني) (الشام/ الجزيرة العربية)	1500	1900
		Islamic (Iraq)	إسلامي (العراق)	640	1900	Islamic, Early (Early Caliphate/Umayyad) (Iraq)	إسلامي، مبكر (الخلافة مبكر/ أموي) (العراق)	640	750
						Islamic, Middle (Abbasid) (Iraq)	إسلامي، وسيط (عباسي) (عراقي)	750	1250
						Islamic, Late (Post-Abbasid) (Iraq)	إسلامي، متأخر (بعد العباسي) (العراق)	1250	1500
