id	language	text
4a31aa72-d96d-3238-a153-3298f12548c0	ar	???????? ??????? ???????
4a31aa72-d96d-3238-a153-3298f12548c0	fr	Emirats Arabes Unis
		
3ed95778-2dee-3a29-a48f-1f2faf319f96	ar	??? ???
3ed95778-2dee-3a29-a48f-1f2faf319f96	en	Other
3ed95778-2dee-3a29-a48f-1f2faf319f96	fr	Autre
		
7832887b-99b1-4c08-b3d3-879038a85d08	en	Eritrea
7832887b-99b1-4c08-b3d3-879038a85d08	ar	???????
7832887b-99b1-4c08-b3d3-879038a85d08	fr	Érythrée
		
55c39320-82ec-31af-b3c9-f801c4c2d3e1	ar	?????????
55c39320-82ec-31af-b3c9-f801c4c2d3e1	en	Mauretania
55c39320-82ec-31af-b3c9-f801c4c2d3e1	fr	Maurétanie
		
3ab92b04-9572-4ebb-954d-1c745cc831c5	en	Afghanistan
3ab92b04-9572-4ebb-954d-1c745cc831c5	ar	?????????
3ab92b04-9572-4ebb-954d-1c745cc831c5	fr	Afghanistan
		
edc14e6a-2d99-3949-a72c-8a462c700edb	ar	?????
edc14e6a-2d99-3949-a72c-8a462c700edb	en	Libya
edc14e6a-2d99-3949-a72c-8a462c700edb	fr	Libye
		
40db4313-a3ba-3ce8-983a-9409d1fbdf92	en	Tunisia
40db4313-a3ba-3ce8-983a-9409d1fbdf92	ar	????
40db4313-a3ba-3ce8-983a-9409d1fbdf92	fr	Tunisie
		
481bd76d-9397-3002-a833-29c95699f8a7	en	Iraq
481bd76d-9397-3002-a833-29c95699f8a7	ar	??????
481bd76d-9397-3002-a833-29c95699f8a7	fr	Irak
		
cd6a767a-fd48-3ed7-a069-86122b8d4c73	ar	????????
cd6a767a-fd48-3ed7-a069-86122b8d4c73	en	Saudi Arabia
cd6a767a-fd48-3ed7-a069-86122b8d4c73	fr	Arabie Saoudite
		
e3eea174-d043-3154-aaa0-37d97ce09d94	ar	??????
e3eea174-d043-3154-aaa0-37d97ce09d94	en	Morocco
e3eea174-d043-3154-aaa0-37d97ce09d94	fr	Maroc
		
7b83c7dc-5e13-3373-b2f4-12b7e24cd9ec	en	Western Sahara
7b83c7dc-5e13-3373-b2f4-12b7e24cd9ec	ar	??????? ???????
7b83c7dc-5e13-3373-b2f4-12b7e24cd9ec	fr	Sahara occidental
		
c3d2f038-57d3-3f97-ab81-443fa5d50637	en	Egypt
c3d2f038-57d3-3f97-ab81-443fa5d50637	ar	???
c3d2f038-57d3-3f97-ab81-443fa5d50637	fr	Egypte
		
701e6c01-4511-321e-8f3e-904d80332a19	ar	?????
701e6c01-4511-321e-8f3e-904d80332a19	en	Lebanon
701e6c01-4511-321e-8f3e-904d80332a19	fr	Liban
		
36473530-308b-352d-a8a3-79e78c75fd10	en	Qatar
36473530-308b-352d-a8a3-79e78c75fd10	ar	???
36473530-308b-352d-a8a3-79e78c75fd10	fr	Qatar
		
82f592f8-1257-329d-95a3-bb8a7c1c8b38	ar	???????
82f592f8-1257-329d-95a3-bb8a7c1c8b38	en	Israel
82f592f8-1257-329d-95a3-bb8a7c1c8b38	fr	Israël
		
adb93823-8ca5-4599-9a62-74a55e64a4de	ar	???????
adb93823-8ca5-4599-9a62-74a55e64a4de	en	Ethiopia
adb93823-8ca5-4599-9a62-74a55e64a4de	fr	Ethiopie
		
3f6fa054-57d6-3aa8-9e4e-fa053bb8e1d9	en	Bahrain
3f6fa054-57d6-3aa8-9e4e-fa053bb8e1d9	ar	???????
3f6fa054-57d6-3aa8-9e4e-fa053bb8e1d9	fr	Bahreïn
		
1caa1b5d-f083-3dcc-b81a-e5c454b24afb	ar	???? ??????
1caa1b5d-f083-3dcc-b81a-e5c454b24afb	en	Oman
1caa1b5d-f083-3dcc-b81a-e5c454b24afb	fr	Oman
		
4be7a907-be5a-33e2-bad7-97393ad34f83	en	Funerary/Memorial
4be7a907-be5a-33e2-bad7-97393ad34f83	ar	??????/ ??????
4be7a907-be5a-33e2-bad7-97393ad34f83	fr	Funéraire/Mémorial
		
6a2c0586-ec7f-4dee-954d-cc3853394da2	en	Pilaster
6a2c0586-ec7f-4dee-954d-cc3853394da2	ar	???? ????
6a2c0586-ec7f-4dee-954d-cc3853394da2	fr	Pilastre
		
e3b1da78-628a-4c51-b7bc-43f28fdaa7ec	en	Straw
e3b1da78-628a-4c51-b7bc-43f28fdaa7ec	fr	Paille
		
ab6a0aa7-0a25-3876-bff4-1959da2f3caa	en	Unit Of Measurement
ab6a0aa7-0a25-3876-bff4-1959da2f3caa	fr	Unité de mesure
		
66457bbc-965b-36aa-8fff-de0a28b68f33	ar	?????/ ??????? ???????? ???????
66457bbc-965b-36aa-8fff-de0a28b68f33	en	Looting/Illegal Activities
66457bbc-965b-36aa-8fff-de0a28b68f33	fr	Pillage/activités illégales
		
8e602902-3c8a-3430-a7df-fff6df57db8b	en	Building and Development
8e602902-3c8a-3430-a7df-fff6df57db8b	ar	?????? ????????
8e602902-3c8a-3430-a7df-fff6df57db8b	fr	Construction et développement
		
aa6abdbd-6fd3-375e-ad0a-56aa1ff95971	en	Hunting/Fishing
aa6abdbd-6fd3-375e-ad0a-56aa1ff95971	ar	??? ???/ ??? ????
aa6abdbd-6fd3-375e-ad0a-56aa1ff95971	fr	Chasse/Pêche
		
917aac6e-3995-36ed-93ad-259be697390f	ar	??????/ ??????
917aac6e-3995-36ed-93ad-259be697390f	en	Funerary/Memorial
917aac6e-3995-36ed-93ad-259be697390f	fr	Funéraire/Mémorial
		
a456b5cd-9658-3c94-8d50-b26c97d7cc4f	en	Religious Activities
a456b5cd-9658-3c94-8d50-b26c97d7cc4f	ar	????? ?????
a456b5cd-9658-3c94-8d50-b26c97d7cc4f	fr	Activités religieuses
		
536e3948-5f36-3308-bd5e-d9b7fab50726	en	Archaeological
536e3948-5f36-3308-bd5e-d9b7fab50726	ar	????
536e3948-5f36-3308-bd5e-d9b7fab50726	fr	Archéologique
		
61718bc9-33e2-33f8-8f7d-d2710026f91f	ar	?????/ ???????
61718bc9-33e2-33f8-8f7d-d2710026f91f	en	Defensive/Fortification
61718bc9-33e2-33f8-8f7d-d2710026f91f	fr	Défensive/Fortification
		
d5915110-f292-30db-b0a1-f2ed50fcca56	en	Maritime
d5915110-f292-30db-b0a1-f2ed50fcca56	ar	????
d5915110-f292-30db-b0a1-f2ed50fcca56	fr	Maritime
		
eec7d801-0e69-36d4-8db3-c33aa97ea47f	ar	?????/ ?????? ?????
eec7d801-0e69-36d4-8db3-c33aa97ea47f	en	Tourism/Visitor Activities
eec7d801-0e69-36d4-8db3-c33aa97ea47f	fr	Activités touristiques/visiteurs
		
05c6983f-a103-3ac3-be1a-eecb8f8c9c8e	en	Unknown
05c6983f-a103-3ac3-be1a-eecb8f8c9c8e	ar	??? ????
05c6983f-a103-3ac3-be1a-eecb8f8c9c8e	fr	Inconnu
		
a268096c-82e8-353d-942d-589db5d74cb7	ar	??? ????
a268096c-82e8-353d-942d-589db5d74cb7	en	square miles (mi2)
a268096c-82e8-353d-942d-589db5d74cb7	fr	milles carrés (mi2)
		
aa083fa5-1bd7-3f98-a9f8-6983675ce608	ar	?????
aa083fa5-1bd7-3f98-a9f8-6983675ce608	en	yards (yd)
aa083fa5-1bd7-3f98-a9f8-6983675ce608	fr	yards (yd)
		
13613cb9-7c69-3bbf-beef-302693523d18	ar	????
13613cb9-7c69-3bbf-beef-302693523d18	en	acres (ac)
13613cb9-7c69-3bbf-beef-302693523d18	fr	acres (acre)
		
b0016ae5-7d10-3d8b-aff8-7a6988e32e18	en	hectares (ha)
b0016ae5-7d10-3d8b-aff8-7a6988e32e18	ar	?????
b0016ae5-7d10-3d8b-aff8-7a6988e32e18	fr	hectares (ha)
		
ee65d82f-276c-30df-b7df-7b90dc4f32ce	en	pounds
ee65d82f-276c-30df-b7df-7b90dc4f32ce	fr	livres sterling
		
4c56a1eb-0bbe-3d82-a13f-6874a1610e23	en	feet (ft)
4c56a1eb-0bbe-3d82-a13f-6874a1610e23	ar	???
4c56a1eb-0bbe-3d82-a13f-6874a1610e23	fr	pieds (pi)
		
dd8f8204-882d-3ceb-a8eb-af2ea851a38b	en	Imperial
dd8f8204-882d-3ceb-a8eb-af2ea851a38b	ar	?????? ???????????
dd8f8204-882d-3ceb-a8eb-af2ea851a38b	fr	Impérial
		
c7a07b33-9b75-3ba6-9247-447629f823ae	en	square feet (ft2)
c7a07b33-9b75-3ba6-9247-447629f823ae	ar	??? ????
c7a07b33-9b75-3ba6-9247-447629f823ae	fr	pieds carrés (pi2)
		
88f7858c-8c10-3a81-87a3-1aba498f7e8f	ar	???? (????)
88f7858c-8c10-3a81-87a3-1aba498f7e8f	en	Plan
88f7858c-8c10-3a81-87a3-1aba498f7e8f	fr	Plan
		
a5743784-6bb1-3da1-9cab-2bf76d2c8300	ar	??? ??? ??? ??????/??? ????
a5743784-6bb1-3da1-9cab-2bf76d2c8300	en	Transect/Grid Survey
a5743784-6bb1-3da1-9cab-2bf76d2c8300	fr	Enquête par transect/grille
		
83f2a63e-92d5-4d62-b239-927cf360190c	ar	"????? ????????? ????? 5/ ?????? ???? 2 (???????)"
83f2a63e-92d5-4d62-b239-927cf360190c	en	"Bronze Age, Susa V/ Old Elamite II (Khuzestan)"
83f2a63e-92d5-4d62-b239-927cf360190c	fr	"Âge du bronze, Suse V/Ancien Élamite II (Khouzistan)"
		
a368f832-fdeb-427b-abe9-af246140fb9a	en	Risk Level
a368f832-fdeb-427b-abe9-af246140fb9a	fr	Niveau de risque
		
d8d245a3-ca65-4f5d-8fe8-6c328f9f74d2	en	High
d8d245a3-ca65-4f5d-8fe8-6c328f9f74d2	ar	????
d8d245a3-ca65-4f5d-8fe8-6c328f9f74d2	fr	Haut
		
a9efe628-1976-47bb-ba02-04a99b6a943f	en	Very High
a9efe628-1976-47bb-ba02-04a99b6a943f	ar	???? ????
a9efe628-1976-47bb-ba02-04a99b6a943f	fr	Très haut
		
b84a50a3-7133-45c0-9d5a-1400bd03e902	en	Unknown
b84a50a3-7133-45c0-9d5a-1400bd03e902	ar	??? ????
b84a50a3-7133-45c0-9d5a-1400bd03e902	fr	Inconnu
		
03d90e7e-747b-4131-b718-c01414e532aa	en	Low
03d90e7e-747b-4131-b718-c01414e532aa	ar	?????
03d90e7e-747b-4131-b718-c01414e532aa	fr	Faible
		
b5eb1f75-5fac-4837-9226-52200dfdbe21	en	Urgent
b5eb1f75-5fac-4837-9226-52200dfdbe21	ar	????
b5eb1f75-5fac-4837-9226-52200dfdbe21	fr	Urgent
		
686bd1cf-0e4f-418d-aff1-0e7713f306df	en	Every 6 Months
686bd1cf-0e4f-418d-aff1-0e7713f306df	ar	?? ??? ????
686bd1cf-0e4f-418d-aff1-0e7713f306df	fr	Tous les 6 mois
		
ddb523c9-ac5c-36f9-9b64-096e5c86f2ee	en	Differential GPS (DGPS)
ddb523c9-ac5c-36f9-9b64-096e5c86f2ee	ar	 ??? ??????? ??????? GPS ?????? (DGPS)
ddb523c9-ac5c-36f9-9b64-096e5c86f2ee	fr	GPS différentiel (DGPS)
		
95ac6d80-2f7e-4f94-9ec4-f7aa9783d2e9	en	"Bronze Age, Akkadian (Southern Mesopotamia)"
95ac6d80-2f7e-4f94-9ec4-f7aa9783d2e9	ar	"????? ????????? ????? (???? ???? ????????)"
95ac6d80-2f7e-4f94-9ec4-f7aa9783d2e9	fr	"Âge du bronze, akkadien (Mésopotamie méridionale)"
		
5cdcc1dc-d5cd-47cc-92f8-92b02283fb4b	en	Bare
5cdcc1dc-d5cd-47cc-92f8-92b02283fb4b	ar	?????
5cdcc1dc-d5cd-47cc-92f8-92b02283fb4b	fr	Nu
		
dd2a74dd-0b00-4238-b13c-1d577f136cb8	en	Marine Isotope Stages
dd2a74dd-0b00-4238-b13c-1d577f136cb8	fr	Étapes des isotopes marins
		
1cdd2720-fa93-4015-b618-48309205a9d6	ar	??? (4> ???)
1cdd2720-fa93-4015-b618-48309205a9d6	en	Macrotidal (>4m)
1cdd2720-fa93-4015-b618-48309205a9d6	fr	Macrotidal (>4m)
		
06e7ea14-7ba3-4fd6-9fce-7ace3e586817	en	Mesotidal (2-4m)
06e7ea14-7ba3-4fd6-9fce-7ace3e586817	ar	????? (4-2 ???)
06e7ea14-7ba3-4fd6-9fce-7ace3e586817	fr	Mésotidal (2-4m)
		
f34f025f-3974-40e1-b702-2f5173f506a6	en	MIS7
f34f025f-3974-40e1-b702-2f5173f506a6	fr	MIS7
		
9a22c787-7b41-46bb-9df0-ce33a3ad44eb	en	MIS18
9a22c787-7b41-46bb-9df0-ce33a3ad44eb	fr	MIS18
		
1830fde6-03c8-49be-aa13-53a81eaea76a	en	MIS11
1830fde6-03c8-49be-aa13-53a81eaea76a	fr	SIG11
		
dc671b14-5bf3-4391-af0f-e166979b3a6a	en	MIS12
dc671b14-5bf3-4391-af0f-e166979b3a6a	fr	MIS12
		
466e034e-c664-4121-9cca-5deeacaa0b0d	en	MIS13
466e034e-c664-4121-9cca-5deeacaa0b0d	fr	MIS13
		
71333f2d-8f46-4fa4-be2f-e668db80b829	en	MIS14
71333f2d-8f46-4fa4-be2f-e668db80b829	fr	MIS14
		
1cef9fac-b690-3057-8025-e886af23d979	ar	?? ???? ??????
1cef9fac-b690-3057-8025-e886af23d979	en	Not Applicable
1cef9fac-b690-3057-8025-e886af23d979	fr	N'est pas applicable
		
6fd0bf51-554c-4572-81ca-c6f25543c77f	ar	????? ???????? (???? ??? ?????)
6fd0bf51-554c-4572-81ca-c6f25543c77f	en	Bronze Age (Northwest Iran)
6fd0bf51-554c-4572-81ca-c6f25543c77f	fr	Âge du bronze (nord-ouest de l'Iran)
		
78027a5c-17dc-3b26-82e0-681a41e2360a	ar	????? ??????? ????????
78027a5c-17dc-3b26-82e0-681a41e2360a	en	Shared Dataset
78027a5c-17dc-3b26-82e0-681a41e2360a	fr	Ensemble de données partagé
		
38fef049-4688-32fb-86b3-81f6b430a861	en	Construction Material Type
38fef049-4688-32fb-86b3-81f6b430a861	fr	Type de matériau de construction
		
0a774c7d-1c94-44ad-9081-b42721b1a579	en	Other
0a774c7d-1c94-44ad-9081-b42721b1a579	ar	??? ???
0a774c7d-1c94-44ad-9081-b42721b1a579	fr	Autre
		
7d123a26-a944-4af8-a7a8-f09fb1f771fc	en	Warship
7d123a26-a944-4af8-a7a8-f09fb1f771fc	fr	Navire de guerre
		
f964dc06-0e4c-446d-82f8-e7931d47cf09	en	Archaeological Monitoring
f964dc06-0e4c-446d-82f8-e7931d47cf09	fr	Surveillance archéologique
		
1c849b1e-ed87-4937-87ec-026ebfe7ce44	ar	???/?????
1c849b1e-ed87-4937-87ec-026ebfe7ce44	en	Tower / Minaret
1c849b1e-ed87-4937-87ec-026ebfe7ce44	fr	Tour / Minaret
		
1a427b87-d3e3-45c3-91aa-64bb8f61bf71	en	South
1a427b87-d3e3-45c3-91aa-64bb8f61bf71	ar	????
1a427b87-d3e3-45c3-91aa-64bb8f61bf71	fr	Sud
		
980eb019-ddba-381f-92a8-5e5bc377182e	ar	?? ???? ??????
980eb019-ddba-381f-92a8-5e5bc377182e	en	Not Applicable
980eb019-ddba-381f-92a8-5e5bc377182e	fr	N'est pas applicable
		
5176c8f9-917e-3491-b037-32ea328fa0ee	ar	?? ???? ?????
5176c8f9-917e-3491-b037-32ea328fa0ee	en	Not Applicable
5176c8f9-917e-3491-b037-32ea328fa0ee	fr	N'est pas applicable
		
5ca2f8a1-f58c-470e-9d5d-ee938561ebb5	ar	"????? ????????? ??????? ??????? (???? ???? ????????)"
5ca2f8a1-f58c-470e-9d5d-ee938561ebb5	en	"Bronze Age, Early Dynastic (Southern Mesopotamia)"
5ca2f8a1-f58c-470e-9d5d-ee938561ebb5	fr	"Âge du bronze, début dynastique (Mésopotamie du Sud)"
		
16925504-a909-4ee4-a48d-f1712bbcd5c8	en	Overall Condition State
16925504-a909-4ee4-a48d-f1712bbcd5c8	fr	État de l'état général
		
55ec8962-e0ef-4412-bcf9-0b46c5c2ad78	ar	????
55ec8962-e0ef-4412-bcf9-0b46c5c2ad78	en	Destroyed
55ec8962-e0ef-4412-bcf9-0b46c5c2ad78	fr	Détruit
		
e264ab06-5a80-4885-a721-78f4b4f4eb00	en	Very Bad
e264ab06-5a80-4885-a721-78f4b4f4eb00	ar	??? ????
e264ab06-5a80-4885-a721-78f4b4f4eb00	fr	Très mauvais
		
20c5f4b1-e808-450c-a5bb-fe414de49ca8	ar	????? ??????? ?????? (??????? ???????)
20c5f4b1-e808-450c-a5bb-fe414de49ca8	en	Middle Iron Age (Arabia)
20c5f4b1-e808-450c-a5bb-fe414de49ca8	fr	Moyen Âge du Fer (Arabie)
		
06b60e38-bbf6-49d0-b371-cb2ff094d3ec	en	"Hellenistic/Seleucid, Late (Levant/Mesopotamia)"
06b60e38-bbf6-49d0-b371-cb2ff094d3ec	ar	"??????/ ??????? ????? (?????/ ???? ????????)"
06b60e38-bbf6-49d0-b371-cb2ff094d3ec	fr	"Hellénistique/Séléucide, Tardif (Levant/Mésopotamie)"
		
8be1c44b-ff10-332c-aec6-f979797cdcb0	ar	?? ????
8be1c44b-ff10-332c-aec6-f979797cdcb0	en	Ancient Text
8be1c44b-ff10-332c-aec6-f979797cdcb0	fr	Texte ancien
		
bae8d86f-c479-4a8b-9c0c-aa63390fff84	en	Submarine
bae8d86f-c479-4a8b-9c0c-aa63390fff84	fr	Sous-marin
		
3f3b084e-6eca-370b-a705-2562fe276283	en	Surface Cleaning
3f3b084e-6eca-370b-a705-2562fe276283	ar	????? ?????
3f3b084e-6eca-370b-a705-2562fe276283	fr	Nettoyage des surfaces
		
bea17415-14f7-4945-bfb9-d4e6a0f773d9	en	Iron Age (Maghreb)
bea17415-14f7-4945-bfb9-d4e6a0f773d9	ar	????? ??????? (??????) 
bea17415-14f7-4945-bfb9-d4e6a0f773d9	fr	Âge du Fer (Maghreb)
		
31be4296-6d96-4160-a307-c3103b9b8d4d	en	Boolean
31be4296-6d96-4160-a307-c3103b9b8d4d	fr	Booléen
		
e819f7d3-85bc-4f7a-8956-0b0b8b195cb9	en	Yes
e819f7d3-85bc-4f7a-8956-0b0b8b195cb9	fr	Oui
		
14baf964-f0ba-3c01-a362-d076933c88f4	en	dunam
14baf964-f0ba-3c01-a362-d076933c88f4	ar	????
14baf964-f0ba-3c01-a362-d076933c88f4	fr	dunam
		
de162918-56aa-48e6-ab8a-024934df0b91	ar	"????? ?????? ?????? ??????? ???? (?????/ ???? ????????)"
de162918-56aa-48e6-ab8a-024934df0b91	en	"Epipalaeolithic, Early (Levant/Mesopotamia)"
de162918-56aa-48e6-ab8a-024934df0b91	fr	Épipaléolithique ancien (Levant/Mésopotamie)
		
c093d051-7bf9-43b7-bdd8-3c1cf4c1a2d1	ar	"????? ????????? ????? 3/ ????? ?????? (???????)"
c093d051-7bf9-43b7-bdd8-3c1cf4c1a2d1	en	"Bronze Age, Susa III/Proto-Elamite (Khuzestan)"
c093d051-7bf9-43b7-bdd8-3c1cf4c1a2d1	fr	"Âge du bronze, Suse III/Proto-Élamite (Khouzistan)"
		
cfa0ccfb-5fc3-4dbb-be38-9eb475bbbe1b	en	Dhow
cfa0ccfb-5fc3-4dbb-be38-9eb475bbbe1b	fr	Boutre
		
a6b0b039-ddc0-3ac3-94e0-2908dfa2a64b	en	Topographic Survey
a6b0b039-ddc0-3ac3-94e0-2908dfa2a64b	ar	??? ?????????
a6b0b039-ddc0-3ac3-94e0-2908dfa2a64b	fr	Relevé topographique
		
61bde4a1-2489-36d7-befc-79673c03f50d	ar	????? ??? ?????
61bde4a1-2489-36d7-befc-79673c03f50d	en	Unpublished Report
61bde4a1-2489-36d7-befc-79673c03f50d	fr	Rapport non publié
		
ab3dbf09-78c1-45d8-825e-89d782d30604	ar	???
ab3dbf09-78c1-45d8-825e-89d782d30604	en	East
ab3dbf09-78c1-45d8-825e-89d782d30604	fr	Est
		
0ab1bb58-6fb1-3304-83c7-8eddafe25265	en	Site Protection/Improving Security
0ab1bb58-6fb1-3304-83c7-8eddafe25265	ar	????? ??????/ ???????? ????????
0ab1bb58-6fb1-3304-83c7-8eddafe25265	fr	Protection du site/amélioration de la sécurité
		
75956525-d069-3438-8c5c-695283e77400	en	Impact Assessment
75956525-d069-3438-8c5c-695283e77400	ar	????? ???????
75956525-d069-3438-8c5c-695283e77400	fr	Évaluation de l'impact
		
35c3c442-3c36-420c-8567-716796d50e50	en	Component Orientation
35c3c442-3c36-420c-8567-716796d50e50	fr	Orientation des composants
		
3484cfb3-3afa-4553-bf3a-b67451e63c1e	ar	???-???
3484cfb3-3afa-4553-bf3a-b67451e63c1e	en	East-West
3484cfb3-3afa-4553-bf3a-b67451e63c1e	fr	Est Ouest
		
1b1d9aee-024a-4590-a5b1-b9586a2566c3	ar	????-????
1b1d9aee-024a-4590-a5b1-b9586a2566c3	en	North-South
1b1d9aee-024a-4590-a5b1-b9586a2566c3	fr	Nord Sud
		
8bc35cd7-4f5c-4985-bce7-d6786a9071e2	en	North
8bc35cd7-4f5c-4985-bce7-d6786a9071e2	ar	????
8bc35cd7-4f5c-4985-bce7-d6786a9071e2	fr	Nord
		
f16296f2-7e5b-412e-8f49-804d4d816542	en	Not Applicable
f16296f2-7e5b-412e-8f49-804d4d816542	ar	?? ???? ??????
f16296f2-7e5b-412e-8f49-804d4d816542	fr	N'est pas applicable
		
311b71ca-bfcb-48d0-9a97-9511a5861912	ar	???? ???? - ???? ????
311b71ca-bfcb-48d0-9a97-9511a5861912	en	Freshwater Wetland
311b71ca-bfcb-48d0-9a97-9511a5861912	fr	Zone humide d’eau douce
		
59f266a3-b1b4-473f-80b6-fdf90d56e5f3	ar	"????? ?????? ??????? ????/ ???? ???/ ??? ?????? (??? ??????/ ???????? ?????)"
59f266a3-b1b4-473f-80b6-fdf90d56e5f3	en	"Neolithic, Early/Aceramic/Pre-pottery (Central Zagros, Iran)"
59f266a3-b1b4-473f-80b6-fdf90d56e5f3	fr	"Néolithique, ancien/acéramique/pré-poterie (Zagros central, Iran)"
		
2f080e63-ca3a-40f1-9205-b01fd80f099f	en	Mehrab
2f080e63-ca3a-40f1-9205-b01fd80f099f	ar	?????
2f080e63-ca3a-40f1-9205-b01fd80f099f	fr	Mehrab
		
650341ac-15f9-4884-98f2-0237a1157ab2	en	Canoe
650341ac-15f9-4884-98f2-0237a1157ab2	fr	Canoë
		
0a8fc794-b83e-4476-b8ca-77948d32429b	en	Coastal Cliff
0a8fc794-b83e-4476-b8ca-77948d32429b	fr	Falaise côtière
		
84d6db56-e334-38cb-b752-35a58e8c8d3d	en	Activity Type
84d6db56-e334-38cb-b752-35a58e8c8d3d	fr	Type d'activité
		
7ad7226d-75b8-340f-8ff0-be3d22845c71	en	Site Function Certainty Type
7ad7226d-75b8-340f-8ff0-be3d22845c71	fr	Type de certitude de fonction du site
		
def695f9-5541-34ad-9b9a-27bd79fec102	ar	????
def695f9-5541-34ad-9b9a-27bd79fec102	en	Negligible
def695f9-5541-34ad-9b9a-27bd79fec102	fr	Négligeable
		
f289e0f0-40e3-3340-b251-5d1896a64123	ar	????
f289e0f0-40e3-3340-b251-5d1896a64123	en	High
f289e0f0-40e3-3340-b251-5d1896a64123	fr	Haut
		
dcf60d6e-4a92-327a-8323-af6379defe63	ar	????
dcf60d6e-4a92-327a-8323-af6379defe63	en	Definite
dcf60d6e-4a92-327a-8323-af6379defe63	fr	Précis
		
80f06d47-0020-4cef-b308-257eb255bc2d	ar	"??????/ ????? ??????? ""IV"" (???? ??? ?????)"
80f06d47-0020-4cef-b308-257eb255bc2d	en	Achaemenid/Iron Age IV (Iran)
80f06d47-0020-4cef-b308-257eb255bc2d	fr	Achéménide/Âge du Fer IV (Iran)
		
e2257468-dac2-405c-b0f3-b6c1d1cfa5b8	en	"Islamic, Late (Post-Abbasid) (Iraq)"
e2257468-dac2-405c-b0f3-b6c1d1cfa5b8	ar	"??????? ????? (??? ???????) (??????)"
e2257468-dac2-405c-b0f3-b6c1d1cfa5b8	fr	"Islamique, tardif (post-abbasside) (Irak)"
		
477baf2a-9609-383b-b722-d72215b626e7	en	Site Size Certainty Type
477baf2a-9609-383b-b722-d72215b626e7	ar	??? ?????? ?? ?????? ?????? ?? ????? ??????
477baf2a-9609-383b-b722-d72215b626e7	fr	Type de certitude sur la taille du site
		
8d60c427-0e45-3f39-a333-0694cc989da6	ar	????
8d60c427-0e45-3f39-a333-0694cc989da6	en	High
