Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Surface Feature	ملمح سطحي	A feature which appears as surface marks and has no obvious dug or constructed/upstanding components	ملمح يظهر كعلامات سطحية ولا يبدو أن له مكونات أخرى سواء محفورة أو منشأة	"ظاهرة سطحية ""أفقية"""	No. 	
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	Yes	غير معلوم
						
Cultural Period	الفترة الحضارية	See 'Cultural Period Tab'				
						
#Cultural Period Certainty	مدى التأكد من الفترة الحضارية	Definitions	تعريف			
Possible	ممكن	"Chronological data has either been collected in the field with some issues of certainty e.g. the published report suggests that the material is ""possibly"" MBA and/or the features identified from the imagery are indicative of a certain period of use, although there is some evidence to suggest that an alternative dating of this feature is possible."	"إما أن البيانات الكرونولوجية قد تم جمعها من زيارات موقعية ولكن مع بعض الشكوك، مثل أن يقترح التقرير المنشور أن المادة ""محتملة، أو غير مؤكدة"" من العصر البرونزي الوسيط. و/أو أن يكون الملمح الذي تم تحديده من الصور يوحي بفترة معينة للاستخدام، ويوجد دليل يقترح أن تاريخاً بديلاً قد يكون محتملاً"			
Probable	محتمل	"Chronological data has either been collected in the field with some issues of certainty e.g. the published report suggests that the material is ""probably"" MBA and/or the features identified from the imagery are strongly indicative of a certain period of use and there is no/limited evidence to suggest that an alternative dating of this feature is possible."	"تم جمع البيانات الكرونولوجية من زيارات موقعية ولكن مع بعض الشكوك، مثل أن يقترح التقرير المنشور أن المادة ""محتملة، أو غير مؤكدة"" من العصر البرونزي الوسيط. و/أو أن يكون الملمح الذي تم تحديده من الصور يوحي بفترة معينة للاستخدام، ولكن لا يوجد دليل مؤكد لاقتراح أن تاريخاً بديلاً قد يكون محتملاً"			
Definite	مؤكد	Chronological data has been collected from either a primary field visit or a published source and the current investigator has no reason to doubt this.	تم جمع البيانات الكرونولوجية إما من زيارات موقعية أو من مصادر منشورة، وليس لدى المحقق الحالي سبباً للشك في هذه البيانات			
Not Applicable	لا يمكن تحديده	For use when Unknown has been entered as the Cultural Period	يستخدم عندما يتم إدخال غير معلوم فيما يتعلق بالفترة الثقافية	لا يمكن تحديده	yes	غير قابل للتطبيق
x						
						
#Absolute Chronology	ترتيب زمني مطلق	Definitions				
Archaeological Date From	تاريخ قائم على أساس أثري (من تاريخ)					
Archaeological Date To	تاريخ قائم على أساس أثري (إلى تاريخ)					
BP Date From	قبل الحاضر (من تاريخ) (قبل عام 1950)	" ""Before Present"", with 'present' taken as 1950 AD/CE. When basing this on radiocarbon measurements, make sure to enter calibrated dates."				
BP Date To	قبل الحاضر (إلى تاريخ) (قبل عالم 1950)					
AH Date From	التاريخ الهجري (من تاريخ)	Anno Hijra. Islamic calendar date.				
AH Date To	التاريخ الهجري (إلى تاريخ)					
SH Date From	التاريخ الهجري الشمسي (من تاريخ) (تأريخ فارسي)	Solar Hijri calendar date.				
SH Date To	التاريخ الهجري الشمسي (إلى تاريخ) (تأريخ فارسي)					
						
Site Features	ظواهر الموقع					
						
#Site Feature Form	الشكل	Definitions	تعريف			
Bank/Earthwork	ضفة/بناء طيني	A built feature, often linear, constructed primarily of earth and normally with sloping, rather than vertical sides. This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature can be identified as a bank or earthwork and when the feature has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification. If bastions etc., are associated with feature then Structure should be used as the resource type.	"ملمح مبني، وعادة ما يكون طولياً، مبني من الطين بشكل أساسي وعادة ما يكون له جوانب مائلة وليست رأسية. يجب استخدام هذا المصطلح على أنه نوع المورد بخصوص الحصون والأعمال الإنشائية الدفاعية بالطين، عندما يمكن تعريف الملمح على أنه ضفة أو أعمال إنشائية طينية، وعندما لا يكون للملمح تعقيدات مرئية، كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Bank/Wall	ضفة/جدار	A vertical/linear construction where it is unclear whether sloping or vertical sides are present. Generally, we will also have no information regarding the materials used for construction. This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature cannot be identified as either a bank OR wall and when the feature has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification. If bastions etc., are associated with feature then Structure should be used as the resource type.	"منشأ رأسي/طولي غير معلوم ما إذا كانت جوانبه رأسية أم منحدرة. على العموم، لا يكون لدينا معلومات عن المواد المستخدمة في الإنشاء. ويجب استخدام هذا المصطلح كنوع المصدر بخصوص الحصون والأعمال الإنشائية الدفاعية بالطين، عندما لايمكن تعريف الملمح على أنه ضفة أو أعمال إنشائية طينية، وعندما لا يكون للملمح تعقيدات مرئية، كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Cave	كهف	An underground hollow, usually but not exclusively with a horizontal opening; naturally or anthropogenically formed and/or modified	فراغ تحت الأرض، وعادة ولكن ليس دائماً يكون له فتحة أفقية: سواء بشكل طبيعي أو من صنع الإنسان (أو عدلها الإنسان)			
Cleared Area	منطقة تم مسحها وتنظيفها	An open area of land that has been cleared of stones/debris/vegetation, usually for a specific purpose	مساحة مفتوحة من الأرض قد تم أخلاؤها من الأحجار، والمخلفات، والنباتات، وعادة ما يكون ذلك لغرض محدد	منطقة تم مسحها وتنظيفها	ok	منطقة تم إخلاؤها
Colour/Texture Difference	اختلاف في لون سطح الأرض/قوام التربة	Variation in ground-surface colour or texture distinct from surrounding area associated with a site. In many cases using satellite imagery it will not be clear whether this is a cropmark or a soilmark. 	اختلاف في لون سطح الأرض، أو ملمسه بالمقارنة بالمنطقة المحيطة والمرتبطة بموقع. في حالات كثيرة يؤدي استخدام الصور الملتقطة بالأقمار الصناعية لن يوضح ما إذا كان هذا علامة زراعية، أم علامة في التربة	اختلاف في لون سطح الأرض/قوام التربة	ok	اختلاف في اللون/ اختلاف في الملمس
Craft/Vessel/Vehicle	عربة/سفينة/مركبة	A man-made thing used for transportation including of people or goods. Definition here covers land (e.g. wheeled/tracked vehicles), air (i.e. aircraft) and sea (i.e. ships/boats) transportation				
Depression/Hollow	منخفض/ فجوة	A concave area in the surface of the ground, usually wider than it is deep; naturally or anthropogenically formed and/or modified. 	منطقة بها تحدب لسطح الأرض، وعادة ما يكون عرضه أكبر من عمقه. وقد يكون طبيعياً أو من صنع أو تعديل الإنسان			
Ditch/Trench	خندق/حفرة	A deliberately excavated linear feature with no definitive evidence for a covering	ملمح طولي تم حفره عمداً، ولا يوجد دليل محدد على أنه كان مغطى	خندق/حفرة	ok	خندق
Large Mound	تل كبير	An anthropogenically-formed (or significantly modified) 'hill' (over 0.5ha in size), including very large tumuli and 'settlement mounds', i.e. tells.	"تل تم عمله كلياً أو جزئياً بواسطة الإنسان (بمساحة أكبر من نصف هكتار)، ويشمل على هضبة كبير جداً، أو مرتفع استطياني، أي ""تل"""			
Modified Rock Surface	صخر تم تعديله	An area of exposed rock whose surface has been modified in some way, e.g. rock art, inscriptions, relief sculpture etc.. This category should NOT be used for rock-cut pits or shafts, etc., which are defined here as modifying more than just the surface.	منطقة بها صخر مكشوف ، وقد تم تعديل سطح الصخر بشكل أو آخر، مثل الفن الصخري، والنقوش، والنحت البارز، الخ. لا يجب أن يشمل هذا المصطلح الحفر الرأسية المحفورة في الصخر، والتي يجب إدخالها على أنها تعديل لأكثر من السطح.			
Multi-Component	متعدد المكونات	A number of different types of structures or features - to be used only for very complex sites which someone can return to later to separate individual features, buildings, etc. out.	عدد من الأنواع المختلفة للمنشآت والملامح، ويستخدم فقط للمواقع الشديدة التعقيد والتي يمكن أن يعود إليها شخص لاحقاً لفصل الملامح والمباني المختلفة وتحديدها			
Object	 قطعة اثرية	A discrete material item which can (theoretically) be moved/displaced without damaging or affecting the integrity or interpretation of the item itself	مادة منفصلة يمكن (من الناحية النظرية) فصلها/ نقلها بدون ضرر أو تأثير على تكاملية أو تفسير المادة نفسها	لُقية	I would say: قطعة اثرية	قطعة
Paved/Laid Surface	ممهد/ سطح تم تمهيده	A man-made surface or floor formed through the deliberate laying of materials such as flat stones, tesserae, tiles etc.	سطح أو أرضية من صنع الإنسان تكون عن طريق فرش مواد معينة مثل الأحجار المسطحة أو البلاط الخ	رصف/سطح مرصوف	no	
Pit/Shaft/Tunnel	حفرة/جوانب بئر/نفق	A deliberately excavated hole or channel in the ground. These features may be left open at their entrance and in the case of long subsurface shafts and tunnels can be often roofed/covered.	حفرة أو خندق تم حفره عمداً في الأرض. قد يتم ترك مدخل مثل هذا الملمح مفتوحاً فإن كان خندقاً طويلاً تحت الأرض يكون غالباً مغطى بسقف	حفرة/جوانب بئر/نفق	ok	حفرة/ جحر
Plant/Tree	زرع/ شجر	Living organism which absorbs water etc through its roots and synthesizes nurtrients in its leaves through photosynthesis	كائنات حية تمتص الماء عن طريق جذورها وتنتج التغذية لأوراقها عن طريق التمثيل الضوئي			
Platform/Terrace	منصة/مصطبة	Man-made, raised surface designed to create a level area for a particular purpose, e.g. agriculture or the construction of a building	سطح مرتفع من صنع الإنسان، مصمم لخلق مساحة مسطحة لغرض محدد، مثلاً: الزراعة أو بناء مبنى	منصة/مصطبة	ok	سطح/ مصطبة
Pyramid/Ziggurat	هرم/ زقورة	A structure with triangular or rectangular base and flat or stepped sloping sides that meet at a point	منشأ بقاعدة مثلثة أو مستطيلة وله جوانب مسطحة أو مدرجة بحيث تلتقي عند نقطة محددة			
Rubble Spread/Architectural Fragments	ركام متناثر/ أجزاء من عناصر معمارية	A collection on the surface of rubble, construction materials and/or architectural fragments where there is no discernable individual structure visible. This includes architectural fragments which have been re-used.	تجمع على السطح لأحجار، أو مواد بناء، أو عناصر معمارية، حيث لا يوجد منشأ محدد بالبصر. ويشمل ذلك الأجزاء المعمارية التي أعيد استخدامها			
Scatter	مبعثر/ متناثر	A more or less dense collection of archaeological material or artefacts spread on the surface, e.g. pottery, lithics, slag etc.	مجموعة مركزة من البقايا الأثرية أو المواد أو القطع مبعثرة على السطح، مثال الفخار، شظايا الأحجار والمعادن الخ			
Small Mound/Cairn	تل صغير/ كومة أحجار	A small (below 0.5ha in size) discrete heap of soil and/or stones, including small stone burial cairns, clearance piles and earthern mounds such as 'barrows'/'kurgans'.	هضبة صغيرة من التربة أو الحجر (أقل من نصف هكتار) وقد تشمل كومات حجرية جنائزية، أكوام مخلفات وتلال طينية 			
Structure	 مبنى	A built unit, roofed or unroofed, constructed from/comprising multiple parts, including walls and/or enclosed/covered areas, which forms a coherent whole; see also 'Pyramid/Ziggurat' and 'Tower' for two specific structures. This resource type should be used when the feature interpretation Ramparts/Fortification/Defensive Earthwork is being used and the identified feature is complex i.e. comprised of MORE than a single fortification wall and associated with elements such as butresses, bastions, watchtowers etc. If only a single fortification line/enclosure etc., is present-wall/bank OR wall OR bank/earthwork should be used as the resource type.	"وحدة مبنية، سواء لها سقف أو بدون سقف. مبنية من عدة أجزاء تشمل الجدران و/أو مساحات مغلقة مسقوفة أو غير مسقوفة، لتكون جميعاً كل متكامل. أنظر أيضاً ""هرم-زقورة""، و""برج"" كمثالين لنوعين من المنشآت. يجب استخدام هذه المصطلح عندما يكون تفسير المورد تحصين/ مبنى دفاعي/ ترتيبات دفاعية للأرض، ويكون المورد معقداً أي يحتوي على أكثر من جدار دفاعي ومرتبط بعناصر أخرى كالأبراج الدفاعية، وأبراج الحراسة الخ. أما إذا كان المورد خط دفاعي واحد، أو فراغ دفاعي واحد يتم تحديد نوعه على إنه ضفة/ جدار/ بناء طيني."	تركيب معماري	No... مبنى	منشأ
Tower	برج	A structure which is normally, but not exclusively, taller than it is wide and is often, but not always, multi-storeyed	منشأ يكون عادة ارتفاعه أكبر من عرضه، وإن كان ليس في كل الأحوال، وعادة ما يكون متعدد الطوابق، ولكن ليس بالضرورة			
Unknown	غير محدد	The feature form is unknown. For example, a site is interpreted as a settlement in a source, but there is no reference to whether this settlement has built structures, scatters of material etc.	شكل الملمح غير معلوم، فعلى سبيل المثال موقع تم تفسيره في أحد المصادر على أنه مستوطنة، ولكن لا يوجد ما يدل على ما إذا كانت المستوطنة بها مباني قائمة أم مواد مبعثرة، الخ.	غير محدد	ok	مجهول
Upright Stone	حجر قائم	A monolithic stone feature which stands vertically	ملمح صخري مونوليثي قائم رأسياً			
Wall	جدار	A vertical, linear construction with roughly vertical, rather than sloping, sides. If multiple wall(s) are present this term should be used if they DO NOT form a coherent 'structure' as defined above.  This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature identified can be specifically classified as a wall, but has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification.If bastions etc., are associated with feature then Structure should be used as the resource type.	"منشأ رأسي طولي له جوانب أقرب إلى الرأسية منها إلى الانحدار. إذا كان هناك عدد من الجدران يستخدم هذا المصطلح فقط في حالة ما إذا لم تشكل هذه الجدران منشأ واضحاً فوقها. يجب استخدام هذه المصطلح على أن نوع المورد للتحصينات، والأعمال الدفاعية الأرضية عندما يمكن تصنيف المورد كجدار بشكل محدد ودون أية تعقيدات مرئية. كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Waterfront	واجهة مائية/ضفة/شط					
						
#Form Certainty	مدى التأكد من الشكل	Definitions	تعريف			
Not Applicable	لا يمكن تحديده	The investigator has entered 'unknown' and certainty does not apply 	"المحقق أدخل ""غير معلوم""، وبالتالي مدى التأكد غير قابل للتطبيق "	لا يمكن تحديده	ok	غير قابل للتطبيق
Negligible	ضئيل	The investigator has considerable reason to doubt their identifications/interpretations. The evidence may also be contradicted by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً قوية للشك في تحديده/ تفسيره. وقد يكون الدليل مناقض لمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية	ضئيل	ok	تافه
Low	ضعيف	The investigator has considerable reason to doubt their identifications/interpretations. It is It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباباً قوية للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
Medium	متوسط	The investigator has some reason to doubt their identifications/interpretations. It is not confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق بعض الأسباب للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
High	عالي	The investigator has little reason to doubt their identification, it may or may not be confirmed by published sources/other imagery specialists or multiple imagery sources.	لدى المحقق أسباب ضعيفة للشك في تحديده/ تفسيره.  ولم يتم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية	عال	same comment for high	
Definite	مؤكد	The investigator has no reason to doubt their identification and it is either confirmed by published sources/other imagery specialists or multiple imagery sources.	ليس لدى المحقق أية أسباب للشك في تحديده/ تفسيره.  وقد تم تأكيد الدليل بمصدر منشور/ متخصصين آخرين في الصور، أو عدد من المصادر البصرية			
						
#Form Shape	التكوين الهندسي للشكل	Definitions	تعريف			
Circular	دائري	An enclosed feature which is round in shape	ملمح ذو شكل دائري مغلق			
Curvilinear	منحني	A linear feature which curves	ملمح طولي على شكل منحنى			
Irregular	غير منتظم	An enclosed or unenclosed feature with no identifiable geometric form	ملمح ذو شكل مغلق أو مفتوح، ليس له شكل هندسي محدد			
Multiple	متعدد الأشكال	To be used only for complex sites, where there are several different types of features or structures of different shapes	يستخدم للمواقع المعقدة، التي تشمل أنواع متعددة من الملامح، أو المنشآت ذات الأشكال المختلفة	متعدد الأشكال	ok	متعدد
Polygonal	متعدد الأضلاع	An enclosed feature with 4+ straight sides, not arranged at right angles (e.g. trapezoid, pentagon, hexagon etc.)	ملمح ذو شكل هندسي مغلق له أربعة أضلاع مستقيمة أو أكثر، ولا ترتبط بزاويا قائمة (مثل الشكل شبه المنحرف، والخماسي الأضلاع، والسداسي الأضلاع، الخ)	متعدد الأضلاع	ok	كثير الأضلع
Rectangular/Square	مستطيل/ مربع	An enclosed feature with 4 straight sides arranged at right angles	ملمح ذو شكل هندسي مغلق له أربعة أضلاع مستقيمة بينها بزوايا قائمة			
Rectilinear	مستقيم الجوانب	An enclosed or unenclosed feature which is formed of straight sides sitting at more or less right angles	ملمح ذو شكل هندسي مغلق أو مفتوح، يتكون من جوانب إلى حد ما مستقيمة بينها زوايا قائمة	مستقيم الجوانب	ok	مستقيم الخطوط
Semi-circular	شبه دائري	An enclosed feature with one straight side and one curved/rounded side (e.g. D-shaped)	ملمح ذو شكل مغلق أحد أضلاعه مستقيم، والضلع الآخر منحني أو شبه دائري (مثل حرف D الإنجليزي)	نصف دائري	no	
Straight	على استقامة واحدة	A linear feature which does not curve or bend	ملمح طولي مستقيم بدون منحنيات			
Sub-circular	شبه دائري	An enclosed feature which is rounded in shape, but not necessarily circular	ملمح ذو شكل دائري مغلق، ولكن ليس بالضرورة أن يكون دائرة	شبه دائري	ok 	جزء من دائرة
Sub-rectangular	شبه مستطيل	An enclosed feature which is rectangular in overall shape but with rounded corners or edges	ملمح على شكل مستطيل مغلق بصورة عامة، ولكن أركانه أو بعض جوانبه بها انحناءات	شبه مستطيل	ok 	جزء من مستطيل
Triangular	مثلث	An enclosed feature of 3 straight sides.	ملمح على شكل مثلث مغلق يتكون من ثلاثة أضلاع مستقيمة			
Winding	ملتوي	A linear feature which does not follow a regular/straight, and may incorporate bends and/or curves	ملميح طولي ليس له شكل منتظم أو مستقيم، وقد يشمل منحنيات			
Zigzag	متعرج	A linear feature which bends in alternating directions at intervals	ملمح طولي ينحني في إتجاهات متعاكسة في بعض أجزائه			
Unknown	مجهول	Unknown	غير معلوم			
						
#Arrangement	الترتيب	Definitions	تعريف			
Adjoining	متاخم	2 or more features of the same form which share a boundary	ملمحان أو أكثر لهما نفس الشكل ويشتركان في أحد الحدود			
Concentric	مشترك في المركز	2 or more features of the same form which share the same centre, often arranged with the larger features of the same form encircling the smaller ones.	ملمحان أو أكثر لهما نفس الشكل ويشتركان في المركز، وعادة ما يكون بحيث تحتوي الملامح الأكبر لنفس الشكل الملامح الأصغر			
Clustered	متجمع	2 or more features of the same form closely grouped together, without any specific centre or focus	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متقارب، بدون أي مركز محدد أو بؤرة معينة			
Converging	منبثق	2 or more features of the same form, usually linear (e.g. walls), which lead to or radiate out from a single feature or location - e.g. the 'tails' of a desert kite leading towards and enclosure, or track/paths which lead to/from a settlement from different directions				
Dispersed	متفرق	2 or more features of the same form loosely grouped together, without any specific centre or focus	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متباعد، بدون أي مركز محدد أو بؤرة معينة			
Discrete	متداخل أو قريب	A single form feature with other discernible archaeological form features in the immediate vicinity, close by or adjoining in some way.	ملمح له شكل محدد مع ملامح أثرية غير واضحة المعالم في محيطه المباشر، أوقريبة منه، أو متصلة به بشكل أو آخر	متداخل أو قريب	ok	متداخل
Isolated	منعزل	A single form feature with no other discernible archaeological form features in the immediate vicinity.	ملمح له شكل محدد بدون أية ملامح أثرية غير واضحة المعالم في محيطه المباشر			
Linear	طولي	2 or more features of the same form positioned in an elongated arrangement. NB this does not necessarily mean straight	ملمحان أو أكثر لهما نفس الشكل يقعان على أمتداد واحد. ملاحظة: هذا لا يعني أن يكون هذا الامتداد مستقيماً			
Multiple	متعدد	To be used only for complex sites, where there are several different types of arrangements of features or structures	يستخدم فقط للمواقع المعقدة، حيث يوجد أنواع مختلفة من الترتيبات والملامح والمنشآت			
Nucleated	ذو نواة	2 or more features of the same form which are closely grouped together and focused around a specific/central feature	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متقارب حول ملمح مركزي محدد			
Parallel	متوازي	2 or more linear features of the same form which run in the same direction without meeting	ملمحان طوليان أو أكثر لهما نفس الشكل ولهما نفس الاتجاه دون أن يلتقيا			
Perpendicular	متعامد	2 features of the same form positioned at right angles, whether or not they are also adjoining	ملمحان أو أكثر مجمعان بشكل متعامد، بغض النظر عما إذا كانا متصلين أم لا			
Overlapping	متراكبة	2 or more features of the same form positioned over/under each other	ملمحان أو أكثر لهما نفس الشكل يقع أحدهما فوق/تحت الآخر			
Rectilinear	مستقيم الخطوط	3+ features of the same form arranged in a combination of perpendicular and parallel arrangements	ثلاثة ملامح أو أكثر لها نفس الشكل مرتبة بشكل يشمل علاقات متوازية ومتعامدة	مستقيم الخطوط	ok	مستقيمة الخطوط
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
#Estimated number of forms	تقدير عدد الأشكال			تقدير عدد الأشكال	ok	عدد الأشكال الذيتم تقديره
1	1					
2 to 5	2 إلى 5					
6 to 10	6 إلى 10					
11 to 20	11 إلى 20					
21 to 50	21 إلى 50					
51 to 100	51 إلى 100					
100 to 500	100 إلى 500					
500+	تزيد عن 500					
Unknown	غير معلوم			غير معلوم	ok	مجهول
**Emphasis on estimated - we do not want or expect anyone to count up individual features.	** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة			** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة	ok	**  الأعداد تقديرية - ولا نتوقع أن يقوم أحد بالرصد الدقيق لعدد الملامح المستقلة 
						
#Interpretation	التفسير	Definitions	تعريف			
Aircraft	طائرة	A vehicle which can fly				
Altar	مذبح	A block or surface used to make sacrifices or offerings in a religious context	كتلة أو سطح يستخدم لتقديم القرابين في سياق ديني			
Amphitheatre	"مسرح مزدوج ""امفيساتر"""	An open building, usually circular or oval, with tiered seating and a central space for sporting events and other public entertainment and spectacles	بناء مفتوح، وفي الغالب يكون دائرياً أو بيضاوياً، به مقاعد منتظمة في دوائر أو منحنيات حول فضاء متوسط للفعاليات الرياضية وغير ذلك من الفعاليات العامة للترفيه والاستعراض	"مسرح مزدوج ""امفياتر"""	ok but chnage last word to: امفيساتر	مسرح مفتوح
Anchorage	مرفأ	An area of water offshore where watercraft can anchor, generally identified archaeologically by the prescence of anchors on the seafloor and/or listed as such in ancient sources and charts				
Animal Pen	حظيرة حيوانات	An enclosure specifically for the keeping of animals				
Aqueduct	قناة مائية علوية	Artifical, man-made channel or bridge, designed to carry/convey water across long distances and obstacles	قناة أو جسر من صنع الإنسان مصمم لحمل وتوصيل المياه عبر مسافة كبيرة وعقبات مختلفة			
Ballast	"صابورة ""ثقل توازن في قاع السفينة"""	Heavy material (e.g. rocks or stones), placed in a ship/boat to maintain its stability				
Barrack	ثكنة	A building designed for the housing of soldiers	مبنى مصمم لإقامة الجنود			
Barrage/Dam	سد/عائق	Artificial barrier constructed across a body of water, e.g. river, lake, estuary, designed to prevent flooding, aid irrigation or control water supply, access and flow	حاجز من صنع الإنسان منشأ مقابل جسم مائي مثل النهر أو البحيرة أو مصب نهر، مصمم لمنع الفيضان، ويساعد في الري والتحكم في التزويد بالماء وتدفق الماء	سد/عائق	ok	سد/ خزان
Basilica (Roman)	بازيليكا (رومانية)	A Roman building used as a courthouse or for other official, public activities or events, usually with one apsed end. Not to be used for churches	مبنى روماني كان يستخدم كمحكمة أو وظائف وفعاليات رسمية وجماعية أخرى، وعادة ما تكون إحدى نهاياته نصف دائرية. لا يستخدم هذا المصطلح للكنائس			
Basin/Tank	حوض/ خزان	A man-made receptacle for holding liquids, often associated with agricultural processing (e.g. oil or wine). This includes cupmarks/cupholes	وعاء من صنع الإنسان لحفظ السوائل، وعادة ما يرتبط بالتصنيع الزراعي، مثل صناعة الزيت أو النبيذ. ويشمل ذلك النحت الصخري علي هيئة وعاء أو علامات دائرية			
