Environment Assessment	التقييم البيئي	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
Metamorphic (undefined)	صخر متحول	Rock formed by an intense change in heat and pressure applied to a prexisting igneous or sedimentary rock Use this term where the rock is metamorphic but the specific type (e.g. quartzite, schist) is unknown				
Mudstone/Siltstone	حجر طيني/حجر غريني	Fine- to medium grained sedimentary rock produced by the accumulation of mud-sized clasts. Sometimes referred to as shale				
Organic sedimentary rock	صخر رسوبي عضوي	Sedimentary rock produced by the consolidation of organic material accumulated from organic debris such as plant matter. Common types include coal and lignite				
Sandstone	حجر رملي	Fine- to medium grained  sedimentary rock produced by the accumulation and consolidation of sand-sized clasts				
Sedimentary (undefined)	حجر رسوبي (غير محدد)	Rock formed by the accumulation and consolidation of loose sediment orginally deposited by any one, or several, of a range of transport / formation processes. For example including wind action, water action, glacial action, precipiation and biogenic processes. Use this term where the rock is sedimentary but the specific type (e.g. sandstone, shale) is unknown				
Slate	سليت	Fine-grained metamorphic rock derived from mudstone/shale				
Tuff	حجر مسامي/ التوفا	Rock produced by the consolidation of accumulated volcanic material including ash, tephra and lava and often incorporating other rocks or material pre-existing at the point of deposition				
x						
Surficial Geology Type	نوع الجيولوجيا السطحية	Definitions	تعريف			
Coarse Sediment	راسب خشن	Sediment deposit is predominantly composed of gravel to cobble sized grains (2-256mm)				
Mixed Sediment	راسب مختلط	Sediment includes a range of grain sizes including mud, sand and gravel (0.98 μm-256mm)				
Mud (Clay and Silt)	وحل (طين وطمي)	Sediment deposit is predominantly composed of mud grains (0.98-62.5 μm)				
Organic sediment/deposit	راسب/توضع عضوي	Sediment is comprised of organic material such as peat, or organic-rich sediment such as soil				
Palaeontological remains (macro)	بقايا مستحاثاث (صغيرة)	Sediment deposit includes fossils of plants or animals large enough to be seen with the naked eye (macrofossils)				
Palaeontological remains (micro)	بقايا مستحاثاث (دقيقة)	Sediment deposit includes fossils of plants or animals which can only be seen with a microscope (microfossils)				
Rock and Boulders	صخر/جلمود	No or limited sediment present, only exposed rock and/or boulders (>256mm)				
Sand	رمل	Sediment deposit is predominantly composed of sand-sized grains (62.5 μm - 2mm)				
Archaeological Deposit/Artefact Bearing Deposit	توضع أثري/توضع يحتوي على لقى	Sediment deposit includes archaeological artefacts (i.e. created or used by humans). Use this term in the event that archaeological artefacts are present and contribute to understanding of environmental change. If archaeological structures are present, use Landform Type>Archaeological Feature/Structure				
x						
Depositional Process	عملية الترسب	Definitions	تعريف			
Aeolian	ريحي	Sediment deposited by wind action				
Biogenic	بيولوجي المنشأ	Sediment produced by living organisms, for instance shells, corals and diatomite				
Chemical	كيميائي	Sediment deposited or altered by chemical processes, such as chemical precipitation of dissolved material (e.g. cementation of beach sediment to form beachrock)				
Fluvial/Alluvial	راسب فيضي/راسب غريني	Sediment deposited by rivers or streams				
Glacial	جليدي	Sediment deposited by glaciers and ice sheets				
Lacustrine	بحيري	Sediment deposited in a lake				
Marine/Coastal	بحري/ساحلي	Sediment deposited on the coast or in the sea by water processes including waves, tides, storm action, suspension settling and density currents				
Organic	عضوي	Sediment deposited as a result of the accumulation and preservation of organic matter (e.g. peat)				
Slope	راسب انهياري	Sediment deposited by processes operating on slopes such landslides, slumps, downslope creep and overland flow				
Volcanic/Igneous	بركاني/ناري	Sediment composed mainly of volcanic material including of pyroclastic (derived from explosive eruptions) and hyaloclastic (formed by thermal shock of hot lava meeting cold water) origin				
Anthropogenic						
x						
Marine Environment	بيئة بحرية					
						
Fetch Type	نوع المسافة بين يابستين	Definitions	تعريف			
Exposed (>100 km)	مكشوف <100 كم	Fetch (straight-line distance from the coast across water to the nearest landmass) is between 10km and 100km				
Moderately exposed (10-100 km)	معتدل (20-10 متر)	Fetch (straight-line distance from the coast across water to the nearest landmass) is between 10km and 100km				
Protected (<10 km)	محمي >10 متر	Fetch (straight-line distance from the coast across water to the nearest landmass) is less than 10km				
x						
Wave Climate	حالة الموج	Definitions	تعريف			
Monsoon	أمواج موسمية	Seasonally variable waves (moderate in one season, rougher in another season) resulting from monsoon winds which alternate between summer and winter. Found in tropical to subtropical regions.				
Protected	محمي	Area which generally receives limited wave action owing to physical protection from natural topography or artficial (man made) structures, for example an enclosed bay or lagoon 				
Storm Wave	أمواج اعصارية عارمة	Highly variable wave conditions resulting from frequent passage of depression (storms) over the coast. Found in subtropical, temperate and arctic regions				
Swell	أمواج هوجاء	Generally moderate and consistent waves travelling in a constant direction. Usually produced by consistent trade winds and found near the equator and subtropical regions 				
Tide-dominated	خاضعة للمد والجزر	Areas where tidal energy dominated over wave energy (e.g. areas with large tidal ranges) such that tidal processes form the main influence on coastal geomorphology				
Tropical Cyclone	أمواج عاتية بسبب عاصفة مدارية	Rare but very high waves which occur during tropical cyclones (aka typhoons, hurricanes). Impact tropical areas which for the rest of the time are under swell or monsoon wave climates				
x						
Tidal Energy	مدى الارتفاع بين المد والجزر	Definitions	تعريف			
Macrotidal (>4 m)	عال (4> متر)	Tidal range (vertical height difference between high and low tide) is more than 4m				
Mesotidal (2-4 m)	متوسط (4-2 متر)	Tidal range (vertical height difference between high and low tide) is between 2m and 4m				
Microtidal (<2 m)	منخفض (2< متر)	Tidal range (vertical height difference between high and low tide) is less than 2m				
x						
Depth/Elevation	العمق/الارتفاع					
						
Minimum Depth/Max Elevation (m)	أدنى عمق/أقصى ارتفاع (متر)					
						
Maximum Depth/Min Elevation (m)	أقصى عمق/أدنى ارتفاع (متر)					
						
Datum Type	نوع الإحداثية	Definitions	تعريف			
Biological Mean Sea Level	المتوسط البيولوجي لمنسوب سطح البحر	The elevation of the sea surface, represented by the boundary between the subtidal and intetidal zone, and measured based on the zonation of biological organisms 				
Chart Datum	إحداثية خرائط	Datum used on nautical/hydrographic charts against which seabed depths are measured. Generally corresponds to a low water measurement such as Lowest Astronomical Tide				
Mean High Water	متوسط ارتفاع المياه	The elevation of the sea surface, calculated as the average of a series of high water elevation measurements over time				
Mean Low Water	متوسط انخفاض المياه	The elevation of the sea surface, calculated as the average of a series of low water elevation measurements over time				
Mean Sea Level	متوسط منسوب سطح البحر	The elevation of the sea surface, calculated as the average of a series of sea surface elevation measurements over time, or if not available, the average between mean high and mean low water				
Other	أخرى	Any other datum which does not fit into any of the above categories				
Regional/Local Datum	إقليمية/إحداثية محلية	Vertical reference datum for a given country or region against which elevations are measured. Examples include Ordnance Datum (Newlyn) for  Great Britain, North American Vertical Datum 1988 for North America				
Unknown	غير محدد	Unknown	غير معلوم	غير محدد		غير معلوم
x						
Datum Description/EPSG code	وصف الإحداثية/ESPG code					
