Information Resource	مصدر المعلومات	Unnamed: 2	Unnamed: 3
Shared Dataset	تقاسم مجموعات البيانات	A set of data which has been officially shared with EAMENA from other individuals, institutions, or projects, such as survey or excavation results before publication. These data are normally unpublished; if the data are published, they should be recorded under Bibliography.	
			
Information Carrier	ناقل المعلومات وحافظها		
			
Format Type	نوع التهيئة أو التنسيق	Definitions	التعريف
Digital Audio	صوتي رقمي	An audio recording accessed as a digital file, e.g. mp3	
Digital Dataset	مجموعة بيانات رقمية	A collection of data organised and stored in a digital document or platform e.g. spreadsheet, database software or platform	
Digital Document	وثيقة رقمية	A digital text document, e.g. PDF, eBook, word document	
Digital Drawing/Model	رسم رقمي/موديل	A drawing or model created and viewed using digital software, e.g. Illustrator, AutoCAD, Photoscan	
Digital Elevation Model	موديل قطاع رقمي	A 3-dimensional digital representation of elevation data to represent terrain	
Digital Image	صورة رقمية	An image accessed as a digital file, e.g. jpeg, tiff	
Digital Video	فيديو رقمي	A video recording accessed as a digital file, e.g. mp4	
Film Negative	شريط نيجاتيف	Plastic strips onto which photographic images are captured through light exposure with a camera, usually with colours inverted	
GeoTIFF	Geo TIFF	A digital TIFF image file which has georeferencing information embedded within the file	
Glass photographic plate	صورة ضوئية على لوح زجاجي	Glass plates onto which photographic images are captured through light exposure with a camera. Their use preceded the use of plastic film in modern cameras (see Film Negative)	
Kml/Kmz	Kml/Kmz	A digital file used to display geographic data in an earth browser such as Google Earth	
Online Access	متاح على الأنترنت	Data viewed via the internet through a web browser or platform	
Other GIS File	ملف GIS آخر	Digital data files used in GIS software other than shapefile (.shp), such as rasters	
Other/Unknown	آخر/غير معروف	Data format unspecified or not listed here	
Personal Communication	اتصال شخصي	A written or verbal exchange between two people, often informal, e.g. an e-mail or telephone call	
Physical Material	مادة منشورة	Any physical document or object, such as books, photographs, etc.	
Shapefile	ملفات تستخدم الشكل Shapfile	A digital geospatial vector data file for GIS software	
Slide	شريحة	An individual transparent image intended for projection onto a larger screen using a slide projector	
			
Bibliography	المراجع		
			
Author(s)	المؤلف (المؤلفون)	Last Name, Initials	
			
Publication Date	تاريخ النشر	Date of publication. In yyyy-mm-dd format. Put 1st of January for year (unless otherwise known)	
			
Publication Title	العنوان	Title of Book/Article/Document, etc. Required field. As given, without capitalization	
			
Editor(s)	المحرر (المحررون)	Editor of edited volume, if applicable	
			
Source (e.g. Journal/Volume title)	المصدر (مثال: مجلة/عنوان المجلد)	Title of Periodical/Edited Volume, etc., if applicable. Full unabbreviated name	
			
Place(s) of publication	مكان (أمكنة) النشر	Place of publication. City, Country format	
			
Publisher	الناشر	Name of Publishing Body, full unabbreviated name	
			
Volume	المجلد	Periodical Volume number, if applicable	
			
Issue/Edition	الإصدار/الطبعة	Periodical Issue number, if applicable/ OR Edition	
			
Page Number(s)	رقم (أرقام) الصفحة	Page Range, use full numbers	
			
Figure Number(s)	رقم (أرقام) الشكل	Name/Number of figure, if applicable. Only if the Information Resource refers to a specific figure.	
			
Shared Data	البيانات المشتركة		
			
Shared Data Source	مصدر البيانات المشتركة	Name of person/contact/institution who has supplied data	
			
Shared Data Source Affiliation	اسم الجهة مالكة البيانات المشترك	Name of the affiliation or copyright type	
			
Shared Data Source Project	اسم المشروع مصدر البيانات المشتركة	Name of project from which data has been shared	
			
Shared Data Source Date of Creation	تاريخ مصدر البيانات المشتركة	Date; use 1 January if only year known	
			
URLs	URLs		
			
URL	URL	URL of the website, without http://	
			
URL Access Date	تاريخ الدخول واستخدام المصدر URL	Date source was (last) accessed, in yyyy-mm-dd format. Use '01' where month or year unknown	
			
Location	الموقع	**See Geometries Tab in other Glossary document	
			
File Upload	تحميل الملف		
			
Resource Relationships	مصدر العلاقات		
			
Related Site	موقع ذي صلة		
			
Add new Relationship	أضف علاقة جديدة		
			
Relationship from Date	علاقة قديمة		
			
Relationship to Date	علاقة حديثة		
			
Relationship Comments	تعليقات العلاقة		
			
Relationship Detailed Condition Assessment	علاقات مفصلة لتقييم الحالة		
			
Additional Information	معلومات إضافية		
			
Description	الوصف		
