Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Old Term replaced by AB or MK
Tile (Glazed)	قرميد (مصقول - مزجج)	Ceramic tile with glaze					
Tile (Hollow)	قرميد (مجوف)						
Tile (Unclassified)	قرميد (غير مصنف)	Ceramic tile					
Tile (Unglazed)	(قرميد (غير مصقول - غير مزجج	Ceramic tile without glaze					
Render	تكسية - تمليط	"A general term for the weatherproof coat on the external and internal walls of a building. It can be used both as protective and decorative layer.
"					
Cement-based Render	تمليط أو تكسية بمادة صلبة	Render constituted by a mixture of sand and cement. It can be fine or coarse, textured or smooth, natural or colored.					
Plaster	جبس/جص						
Roughcast/Pebbledash	ملاط تكسية خشن/ حصوي	Use of rubble stones					
Stucco	ملاط الجبس	FISH: Smooth rendering applied to the exterior of buildings which may be incised to suggest coursed masonry. Made of lime and sand or brick dust, and more recently, cement.					
Binding and Bonding Materials	مواد الربط						
Bitumen	زفت - قار	A black mineral pitch.					
Brickearth	تراب رسوبي	Earth or clay suitable for making bricks.					
Gypsum	جص - جبس	A colourless or white mineral (sometimes coloured by impurities) used in the manufacture od cement, plaster, paint and others.					
Mortar (Concrete)	ملاط - مونة - خرسانة	A mixture of cement with sand and water used for bonding stones or bricks.					
Mortar (Unspecified)	(ملاط - مونة (غير محدد	A mixture of unspecified materials and water used for bonding stones or bricks.					
Rubble stone	كسر حجارة مبني	Uneven stones set in mortar in an irregular way (not according regular courses).			كُسارة حجارة	no: كسر حجارة مبني	أنقاض وحجارة
Other	شيء أخر	Other materials not listed above					
Unknown	غير محدد	Unknown			غير محدد	ok	غير معلوم
x							
Construction Note	ملاحظة البناء						
