Detailed Condition Assessment	تقييم مفصل للحالة	**This sheet has only those fields which are not already listed in the Condition Assessment Tab	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Wiring and Electricity System	شبكة االخطوط والنظام الكهربائي	The wiring or electricity supply to the heritage feature is the reason why the threat exists.		شبكة االخطوط والنظام الكهربائي	ok	شبكة الأسلام والنظام الكهربائي
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Exposure	مكشوف					
						
Potential Impact Type	نوع التأثير الحتمل	Same terms as 'Disturbance Effect' in Condition Assessment Tab				
						
Risk Level Belief	مستوى المخاطر	Definitions	التعريف			
Urgent	عاجل					
Very High	عالي جداً			عال جداً	read my comment about high	
High	عالي			عال		
Medium	متوسط					
Low	منخفض					
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Secondary Threat Type**	نوع الخطر الثانوي	Definitions	التعريف			
Civil unrest	قلاقل مدنية					
Clearance	تصفية			تنظيف وتسوية		
Climate Related Threats	تهديدات متصلة بالمناخ			تهديدات على صلة بالمناخ	same meaning	
Deliberate destruction of heritage	هدم متعمد للتراث					
Demolition	تحطيم			تهديم	no	
Emergency Response Related Threats	إجراءات طوارئ متعلقة بالمخاطر					
Explosion	إنفجار					
Fire	حريق					
Flooding	فيضان					
Graffiti	رسومات أو خربشات على الجدران					
Gunfire/Light Weaponry	إطلاق نيران/ أسلحة خفيفة					
Illegal activities	أنشطة غير قانونية					
Illegal Construction	إنشاءات غير قانونية					
Improper Interventions and Treatment Methods	تدخلات، ومعالجات مواد غير مناسبة					
Landuse Change	تغير في استخدام الأراضي					
Other Human Activities	أنشطة بشرية أخرى					
Other Recovery Related threats	مخاطر أخرى لها علاقة بالانقاذ					
Reuse of heritage/building material	إعادة استخدام التراث/ مواد البناء					
Rising Water	رطوبة صاعدة 					
Road/Track	طريق/ مسار			طريق/ درب	all are OK	
Stationary Vehicle	مركبة ثابتة					
Structural Robbing	سرقة/سلب البناء			سلب البناء	سرقة/سلب البناء	سرقات إنشائية
Sudden Ecological or Geological Events	حوادث جيولوجية وإكولوجية مفاجئة			حوادث جيولوجية وإيكولوجية مفاجئة	same translation	
Temperature/Humidity Change	تغير في الحرارة/ تغير في الرطوبة					
Tunneling	أثر نفقي					
Vandalism	تخريب					
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Mitigation Strategy	استراتيجية كبح الخطر	Same terms as 'Recommendation Type' in Condition Assessment Tab				
						
Priority to Undertake Mitigation	الأولوية لإجراء الكبح	Same terms as 'Priority Type' in Condition Assessment Tab				
						
Mitigation Activity Type	النشاط للحد من التهديدات/المخاطر	Same terms as 'Intervention Activity Type' in Condition Assessment Tab				
						
Threat and Risk Assessor	المتحقق من حالتي الخطر والتهديد					
						
Overall Condition Remarks Type	نوع الملاحظات المدونة إجمالًا	Definitions	التعريف	نوع الملاحظات المدونة إجمالًا	ok	نوع الملاحظات المدونة أدناه
Risk and Damage Notes and Comments	ملاحظات وتعليقات على المخاطر والتلف	Further details about damage or risk to sites which has not been captured sufficiently in the rest of the record				
Priority Assignment Remarks	ملاحظات بخصوص الأولوية	Further details or comments explaining the reasons behind the priority rating given to the site or feature, if it is not self-evident from the rest of the record				
Overall Condition Additional Remarks	ملاحظات إضافية عن الحالة العامة للموقع	Further details or comments specifically related to the overall condition of the site or feature		ملاحظات عن حالة الموقع إجمالًا	ملاحظات إضافية عن الحالة العامة للموقع	ملاحظات إضافية عن الحالة العامة
						
Overall Condition Remarks	ملاحظات كلية عن حالة الموقع					
						
Recommended Date of Next Assessment	التاريخ المقترح للتقييم التالي	Definitions	التعريف			
Every 6 Months	كل ستة شهور	Self-explanatory				
Every year	كل سنة	Self-explanatory				
Every other year	كل سنتين	Self-explanatory				
Every 3-5 years	من ثلاثة إلى خمسة سنوات	Self-explanatory		من ثلاث إلى خمس سنوات		
Discontinue monitoring	توقف المراقبة	Self-explanatory				
After each rainy /storm season	بعد كل موسم أمطار/ موسم رياح	Self-explanatory				
