in-depth condition assessment	تقييم تفصيلي للحالة					
restoration	ترميم	The process of making changes to an object or structure so that it will closely approximate its original state or other state at a specific time in its history.				
repointing	تكحيل	The process of repairing or 'touching up' mortar in masonry walls				
scaffolding	سقالات					
shoring	تدعيم	The process of temporarily supporting a structure				
structural strengthening/reinforcement	تقوية إنشائية/ تدعيم إنشائي	Addition of a structural element, usually in another material, for the purpose of improving the strength of the heritage feature				
Maintenance Activity	أنشطة صيانة	The continuous protective care of the fabric and setting of a place, and is to be distinguished from repair. Repair involves restoration or reconstruction				
surface cleaning	تنظيف السطح	removing dirt, debris and altered products from the surface of recorded heritage				
maintenance policy and programs	سياسة وبرامج الصيانة			سياسة وبرامج الصيانة	ok	سياسة وبرنامج الصيانة
removal of vegetation	إزالة النباتات					
renewal of protective coating	تجديد طبقة الحماية					
Management Planning and Preventative Activity	تخطيط للإدارة وأنشطة وقائية	A field and desk based assessment of heritage condition and vulnerability so that informed decisions can be made regarding how best to preserve, and manage the heritage resource. The preventive activities aimed at avoiding and minimizing future deterioration or loss. These measures are indirect – they do not interfere with the materials and structures of the heritage. They do not modify their appearance.				
designation / registration	إسناد/ تسجيل					
development of conservation and management plan	تطوير خطة حفاظ وإدارة					
fencing/enclosing	إحاطة/ إقامة سور محيط			تطوير خطة حفظ وإدارة	no	
fire mitigation	الحد من خطر الحرائق			تطويق/ إقامة سور محيط		
flood mitigation	الحد من خطر الفيضانات					
intervene with governmental authorities	التدخل بالتعاون مع الجهات الحكومية			التدخل بالتعاون مع الجهات الحكومية	ok	التدخل لدى الجهات الحكومية
intervene with owner/occupant/local inhabitants	التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين			التدخل بالتعاون مع المالك/ الشاغل/ السكان المحليين	ok	التدخل لدى المالك/ الشاغل/ السكان المحليين
reburial	إعادة دفن					
relocation development proposal	مقترح نقل بسبب التطوير			مقترح نقل بسبب التطوير	ok	تطوير مقترح بالنقل
site protection/improving security	حماية الموقع/ الارتقاء بالتأمين			حماية الموقع/ الارتقاء بتأمين الموقع	same one, no need.	
temporary covering	تغطية مؤقتة					
No Action Needed	غير مطلوب أي عمل 					
Other Activities	أنشطة أخرى					
x						
