"UNIQUEID"	"Assessment.Investigator.-.Actor"	"Investigator.Role.Type"	"Assessment.Activity.Type"	"Assessment.Activity.Date"	"GE.Assessment(Yes/No)"	"GE.Imagery.Acquisition.Date"	"Information.Resource.Used"	"Information.Resource.Acquisition.Date"	"Resource.Name"	"Name.Type"	"Heritage.Place.Type"	"General.Description.Type"	"General.Description"	"Heritage.Place.Function"	"Heritage.Place.Function.Certainty"	"Designation"	"Designation.From.Date"	"Designation.To.Date"	"Geometric.Place.Expression"	"Geometry.Qualifier"	"Site.Location.Certainty"	"Geometry.Extent.Certainty"	"Site.Overall.Shape.Type"	"Grid.ID"	"Country.Type"	"Cadastral.Reference"	"Resource.Orientation"	"Address"	"Address.Type"	"Administrative.Subdivision"	"Administrative.Subdivision.Type"	"Overall.Archaeological.Certainty.Value"	"Overall.Site.Morphology.Type"	"Cultural.Period.Type"	"Cultural.Period.Certainty"	"Cultural.Subperiod.Type"	"Cultural.Subperiod.Certainty"	"Date.Inference.Making.Actor"	"Archaeological.Date.From.(cal)"	"Archaeological.Date.to.(cal)"	"BP.Date.From"	"BP.Date.To"	"AH.Date.From"	"AH.Date.To"	"SH.Date.From"	"SH.Date.To"	"Site.Feature.Form.Type"	"Site.Feature.Form.Type.Certainty"	"Site.Feature.Shape.Type"	"Site.Feature.Arrangement.Type"	"Site.Feature.Number.Type"	"Site.Feature.Interpretation.Type"	"Site.Feature.Interpretation.Number"	"Site.Feature.Interpretation.Certainty"	"Built.Component.Related.Resource"	"HP.Related.Resource"	"Material.Class"	"Material.Type"	"Construction.Technique"	"Measurement.Number"	"Measurement.Unit"	"Dimension.Type"	"Measurement.Source.Type"	"Related.Geoarch/Palaeo"	"Overall.Condition.State"	"Damage.Extent.Type"	"Disturbance.Cause.Category.Type"	"Disturbance.Cause.Type"	"Disturbance.Cause.Certainty"	"Disturbance.Date.From"	"Disturbance.Date.To"	"Disturbance.Date.Occurred.Before"	"Disturbance.Date.Occurred.On"	"Disturbance.Cause.Assignment.Assessor.Name"	"Effect.Type"	"Effect.Certainty"	"Threat.Category"	"Threat.Type"	"Threat.Probability"	"Threat.Inference.Making.Assessor.Name"	"Intervention.Activity.Type"	"Recommendation.Type"	"Priority.Type"	"Related.Detailed.Condition.Resource"	"Topography.Type"	"Land.Cover.Type"	"Land.Cover.Assessment.Date"	"Surficial.Geology.Type"	"Depositional.Process"	"Bedrock.Geology"	"Fetch.Type"	"Wave.Climate"	"Tidal.Energy"	"Minimum.Depth/Max.Elevation(m)"	"Maximum.Depth/Min.Elevation(m)"	"Datum.Type"	"Datum.Description/EPSG.code"	"Restricted.Access.Record.Designation"
9	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.9"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus, sur la crête du djebel Rhirane ed Deboa. Notice de M. Lamotte."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.786607430549258 35.7911004960321)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.10"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus, près de Si Moulay Tahar. Notice de M. Lamotte."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.74897591146869 35.7947193699268)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA	"Si Moulay Tahar"	"Toponym"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.11"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus, près de la koubba de Si Abd el Kader Moul Birech. Notice de M. Lamotte."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.721913443362381 35.780493113194)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	NA	NA	NA	NA	NA	NA	NA	NA	"koubba de Si Abd el Kader"	"Toponym"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.12"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus, à Makabra el Hadjadj. Notice de M. Lamotte."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.688704569383253 35.7784500704251)"	"Center Point"	"Low"	"Low"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Low"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA	"Makabra el Hadjadj"	"Toponym"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.13"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Restes d'un barrage en blocage, haut de 2m 50, épais de 2 mètres, sur l'oued Djemaa, à un kil. en amont de la vanne actuelle. Lamotte ; conf. Philippe, Enquête administrative sur les travaux hydrauliques, p. 13-14. - Philippe (p. 14) signale, à environ 1.500 mètres de là, les ruines d'un village, qui parait d'époque romaine."	NA	NA	NA	NA	NA	"POINT(0.69304215705726 35.7837880721131)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.14"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Restes d'une conduite d'eau, qui captait les eaux des sources de l'oued Anseur et qui, par une pente uniforme, se dirigeait vers la ville de Mina (conf. feuille 21, n° 36). Philippe, Enquête, p. 12-13; notices de MM. Lamotte et Noël."	NA	NA	NA	NA	NA	"POINT(0.78898607697114 35.7241338121606)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.15"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Restes d'une conduite d'eau, qui captait les eaux des sources de l'oued Anseur et qui, par une pente uniforme, se dirigeait vers la ville de Mina (conf. feuille 21, n° 36). Philippe, Enquête, p. 12-13; notices de MM. Lamotte et Noël."	NA	NA	NA	NA	NA	"POINT(0.736570367659955 35.7329910398572)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
