period,label,spatial_coverage,start,stop,authority,source,publication_year,broader_periods,narrower_periods
http://n2t.net/ark:/99152/p08m57hq7bs,Epi-palaeolithic,"Africa, Middle East and parts of Europe | Middle East | Europe | Africa",-11999,-5999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hdwjh,Hephthalite,"Altai region, Transoxiana",0420,0553,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hfhfz,Tularosa,Arizona | New Mexico,1050,1550,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hz87q,Afsharid dynasty,Armenia | Georgia (country) | Georgia | Azerbaijan | Iran,1736,1796,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hxqkt,Old Assyrian,Assyria | Turkey | Iraq | Syria,-1999,-1799,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hp2rt,Late Babylonian,Babylonia | Iraq,-0999,0000,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h3sk2,Neo-Babylonian Dynasty,"Babylonian empire, Jerusalem | Babylonia | Old City of Jerusalem and its Walls",-0625,-0538,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h7dvf,Dilmun,"Bahrain, Tarut and Failaka, and the neighbouring region of the eastern Arabian coast | Qatar | United Arab Emirates | Bahrain | Saudi Arabia",-2999,0000,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hxh5q,Punuk,Bering Strait,0500,1000,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hdbn8,Old Bering Sea Culture,Bering Strait | Alaska,-0499,0500,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hh9bz,Inca,Bolivia | Peru | Ecuador | Chile | Argentina,1530,1660,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hh6x8,Late Bronze Age/Early Iron Age,Britain | England,-0999,-0599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvc3n,Romano-British,Britain | England,0043,0410,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hdng4,Early Medieval,British Isles | England,0400,1050,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvh4z,Pagan,Burma,1001,1300,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h3tx8,Sonso,Calima region of Colombia in the Western Range of the Valle del Cauca department | Colombia,0700,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hmknd,Gaudo,Campania,-2999,-1999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hkt4j,Early Archaic,Canada | United States,-7999,-5999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hh78v,Middle Archaic,Canada | United States,-5999,-3999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hph3k,Punic,"Carthage and its settlements established in Sardinia, Spain and Western Sicily, and also to those settlements of North Africa around Carthage | Spain | Sardinia | Tunisia | Sicily",-0899,-0145,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hnqc9,Kushan,Central Asia from Afghanistan to south of Delhi | Pakistan | Afghanistan | India,0001,0400,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hq9gh,BMAC,Central Asia | Turkmenistan | Uzbekistan | Afghanistan | Iran | Tajikistan,-2199,-1699,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hcdc6,Rimac,Central Coast | Peru,0900,1430,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57htv78,Calima,Colombia,-1499,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57ht8jh,San Agustin,Colombia,-0999,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57ht484,Tumaco,Colombia,-0699,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h39zn,Tumaco-La Tolita,Colombia,-0699,0400,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h68nd,Early Quimbaya,Colombia,-0499,0600,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hgjcv,
http://n2t.net/ark:/99152/p08m57hgjcv,Quimbaya,Colombia,-0499,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h68nd
http://n2t.net/ark:/99152/p08m57hjwcw,Yotoco,Colombia,-0199,1200,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvsnh,Zenu,Colombia,-0149,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hspbm,Early Tolima,Colombia,0001,0900,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hrsqf,San Agustin Regional Classic,Colombia,0001,0900,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hj7gv,Tolima,Colombia,0001,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hrqjf,Tairona,Colombia,0200,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hzq74,Muisca,Colombia,0600,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hz5g2,Narino,Colombia,0600,0600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hd876,Late Quimbaya,Colombia,0800,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h7x5d,Serrania de San Jacinto,Colombia,0900,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h7534,Tairona Period,Colombia,0900,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h4xds,Cauca,Colombia,1000,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hpqwx,Proto-Corinthian,Corinth | Greece,-0699,-0639,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hg6nn,Early Minoan,Crete,-3199,-1999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hnhvv
http://n2t.net/ark:/99152/p08m57hnhvv,Early Minoan I,Crete,-3199,-2899,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hg6nn,
http://n2t.net/ark:/99152/p08m57h9pqr,Early Minoan II,Crete,-2899,-2299,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h6k8g http://n2t.net/ark:/99152/p08m57hfqsh
http://n2t.net/ark:/99152/p08m57h6k8g,Early Minoan IIA,Crete,-2899,-2499,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h9pqr,
http://n2t.net/ark:/99152/p08m57hfqsh,Early Minoan IIB,Crete,-2499,-2299,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h9pqr,
http://n2t.net/ark:/99152/p08m57hf5r3,Early Minoan III,Crete,-2299,-1999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h4g7x,Middle Minoan,Crete,-1999,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hhfzc,Middle Minoan I,Crete,-1999,-1849,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hjgvx http://n2t.net/ark:/99152/p08m57h83rf
http://n2t.net/ark:/99152/p08m57hjgvx,Middle Minoan IA,Crete,-1999,-1949,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hhfzc,
http://n2t.net/ark:/99152/p08m57h83rf,Middle Minoan IB,Crete,-1949,-1849,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hhfzc,
http://n2t.net/ark:/99152/p08m57hkf96,Middle Minoan II,Crete,-1849,-1699,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h7r27 http://n2t.net/ark:/99152/p08m57hr67v
http://n2t.net/ark:/99152/p08m57hr67v,Middle Minoan IIA,Crete,-1849,-1799,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hkf96,
http://n2t.net/ark:/99152/p08m57h7r27,Middle Minoan IIB,Crete,-1799,-1699,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hkf96,
http://n2t.net/ark:/99152/p08m57hswvm,Middle Minoan III,Crete,-1699,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hzttw http://n2t.net/ark:/99152/p08m57hvtmg
http://n2t.net/ark:/99152/p08m57hzttw,Middle Minoan IIIA,Crete,-1699,-1649,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hswvm,
http://n2t.net/ark:/99152/p08m57hvtmg,Middle Minoan IIIB,Crete,-1649,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hswvm,
http://n2t.net/ark:/99152/p08m57hx2xv,Late Minoan,Crete,-1599,-1159,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h39mp http://n2t.net/ark:/99152/p08m57hg3vn http://n2t.net/ark:/99152/p08m57hk6kq
http://n2t.net/ark:/99152/p08m57hk6kq,Late Minoan I,Crete,-1599,-1449,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hx2xv,http://n2t.net/ark:/99152/p08m57htcpg http://n2t.net/ark:/99152/p08m57hbscs
http://n2t.net/ark:/99152/p08m57hbscs,Late Minoan IA,Crete,-1599,-1499,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hk6kq,
http://n2t.net/ark:/99152/p08m57htcpg,Late Minoan IB,Crete,-1499,-1449,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hk6kq,
http://n2t.net/ark:/99152/p08m57hg3vn,Late Minoan II,Crete,-1449,-1399,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hx2xv,
http://n2t.net/ark:/99152/p08m57h39mp,Late Minoan III,Crete,-1399,-1059,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hx2xv,http://n2t.net/ark:/99152/p08m57hs2c8 http://n2t.net/ark:/99152/p08m57hnzz5 http://n2t.net/ark:/99152/p08m57h74q6
http://n2t.net/ark:/99152/p08m57hs2c8,Late Minoan IIIA,Crete,-1399,-1299,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h39mp,http://n2t.net/ark:/99152/p08m57hb8d7 http://n2t.net/ark:/99152/p08m57hw6d8
http://n2t.net/ark:/99152/p08m57hb8d7,Late Minoan IIIA1,Crete,-1399,-1374,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hs2c8,
http://n2t.net/ark:/99152/p08m57hw6d8,Late Minoan IIIA2,Crete,-1374,-1299,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hs2c8,
http://n2t.net/ark:/99152/p08m57hnzz5,Late Minoan IIIB,Crete,-1299,-1199,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h39mp,http://n2t.net/ark:/99152/p08m57h9htc http://n2t.net/ark:/99152/p08m57hq9cm
http://n2t.net/ark:/99152/p08m57hq9cm,Late Minoan IIIB1,Crete,-1299,-1249,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hnzz5,
http://n2t.net/ark:/99152/p08m57h9htc,Late Minoan IIIB2,Crete,-1249,-1199,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hnzz5,
http://n2t.net/ark:/99152/p08m57h74q6,Late Minoan IIIC,Crete,-1199,-1059,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h39mp,
http://n2t.net/ark:/99152/p08m57h3qxg,Sub-Minoan,Crete,-1059,-0999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hcmzr,Early Cycladic,Cyclades | Greece,-3199,-1999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hqkgk,Grotta-Pelos Culture,Cyclades | Greece,-3199,-2799,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h8sp2,Keros-Syros Culture,Cyclades | Greece,-2799,-2299,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hkp64,Phylakopi I Culture,Cyclades | Greece,-2299,-1999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h9zxm,Middle Cycladic,Cyclades | Greece,-1999,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hmkfm,Late Cycladic,Cyclades | Greece,-1599,-1059,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h9rb2 http://n2t.net/ark:/99152/p08m57h7pzd http://n2t.net/ark:/99152/p08m57h4pj6
http://n2t.net/ark:/99152/p08m57hwkmv,Early Cypriot,Cyprus,-2399,-1899,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hjdc9,Early Cypriot I,Cyprus,-2399,-2149,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hjg3f,Early Cypriot II,Cyprus,-2149,-2099,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hnqg6,Early Cypriot III,Cyprus,-2099,-1949,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h6tvb,Middle Cypriot,Cyprus,-1899,-1649,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hgrmh,Late Cypriot,Cyprus,-1649,-1049,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hpfwv,Late Cypriot IB,Cyprus,-1599,-1449,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hq6sd,Cypro-Geometric,Cyprus,-1049,-0749,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hwv54 http://n2t.net/ark:/99152/p08m57hzv2n http://n2t.net/ark:/99152/p08m57h6fvg
http://n2t.net/ark:/99152/p08m57hwv54,Cypro-Geometric I,Cyprus,-1049,-0949,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hq6sd,
http://n2t.net/ark:/99152/p08m57hzv2n,Cypro-Geometric II,Cyprus,-0949,-0899,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hq6sd,
http://n2t.net/ark:/99152/p08m57h6fvg,Cypro-Geometric III,Cyprus,-0899,-0749,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hq6sd,
http://n2t.net/ark:/99152/p08m57h2cv3,Cypro-Archaic,Cyprus,-0749,-0449,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57h4fh3 http://n2t.net/ark:/99152/p08m57hbsbh
http://n2t.net/ark:/99152/p08m57h4fh3,Cypro-Archaic I,Cyprus,-0749,-0599,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h2cv3,
http://n2t.net/ark:/99152/p08m57hbsbh,Cypro-Archaic II,Cyprus,-0599,-0449,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h2cv3,
http://n2t.net/ark:/99152/p08m57hj5s2,Cypro-Classical I,Cyprus,-0479,-0399,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hfsdr,
http://n2t.net/ark:/99152/p08m57hfsdr,Cypro-Classical,Cyprus,-0449,-0299,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hj5s2 http://n2t.net/ark:/99152/p08m57hqtwx
http://n2t.net/ark:/99152/p08m57hqtwx,Cypro-Classical II,Cyprus,-0399,-0309,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57hfsdr,
http://n2t.net/ark:/99152/p08m57h6ncv,Burid dynasty,Damascus and southern Syria | Syria,1104,1154,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hz828,Umayyad dynasty,"Damascus, Syria; All of North Africa west of Egypt; Spain",0661,0750,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h6mcm,Ziyarid dynasty,Daylam | Iran,0931,1090,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57ht5pw,Aq Qoyunlu,"Diyar Bakr (center) to Khurasan, Iraq and the Persian Gulf | Turkey | Iraq | Iran | Syria",1378,1508,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h8gsk,Artuqid dynasty,"Diyar Bakr, Khartpert, Mardin and Mayyafariqin | Turkey | Iraq | Syria",1101,1409,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hqp8k,Mon Kings,Dvaravati kingdom | Thailand,0550,1030,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvzgb,Eburran,East Africa,-11050,-6050,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hqf2z,Perso-Greek,East Greece | Turkey,-0599,-0300,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h2kf3,Saffarid dynasty,Eastern Persia to India | Pakistan | Afghanistan | Iran,0861,1003,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hwcz9,British Iron Age East Wiltshire,Eastern Wiltshire,-0049,-0009,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hmjgn,Manteño,Ecuador,0800,1530,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hsz57,Ptolemaic,Egypt,-0331,-0030,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h7bzs,Hellenistic,Egypt,-0322,-0030,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hjsg2,Roman Period,Egypt,-0029,0641,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hhcgp,Mamluk dynasty,"Egypt and Damascus, Syria | Syria | Egypt",1250,1517,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hdjgb,Tulunid dynasty,"Egypt, Palestine, Syria",0868,0905,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvwsg,Old Elamite,Elam | Iran,-2599,-1499,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hqxg6,Anglo-Saxon,England,0401,1100,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hv329,Early Anglo-Saxon,England,0401,0666,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hpsks,Middle Anglo-Saxon,England,0633,0866,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hfhdp,Late Anglo-Saxon,England,0833,1100,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hcbrw,Anglo-Viking,England,0875,0954,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hrrc7,Post-Medieval,England  | England,1500,2015,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hdff8,Eastern British Iron Age,"Essex and Hertfordshire, parts of Kent, Suffolk, Cambridgeshire, Bedfordshire, Northamptonshire, Berkshire, Buckinghamshire and Oxfordshire",-0079,0050,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hbngn,Hallstatt A,Europe,-1199,-1124,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h7m8x,Hallstatt B,Europe,-1124,-0799,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hbzjk,Hallstatt C,Europe,-0799,-0599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hvw55,Hallstatt D,Europe,-0599,-0449,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hkgwg,La Tène A,Europe,-0449,-0399,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hp5fx,La Tène I,Europe,-0449,-0319,http://n2t.net/ark:/99152/p08m57h,British Museum,,http://n2t.net/ark:/99152/p08m57h65g5,
http://n2t.net/ark:/99152/p08m57hh4qx,La Tène B,Europe,-0399,-0274,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h5xvv,La Tène II,Europe,-0319,-0124,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h88gc,La Tène III,Europe,-0124,0043,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h8zmq,Medieval,Europe,0400,1500,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hbmrr,Late Medieval,Europe,1050,1500,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h6zjp,Romanesque,Europe,1050,1200,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hn6p3,Last Ice Age,Europe and North America | Europe | North America,-124050,-9050,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hchxp,Bakun,Fars | Iran,-4999,-3999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hnstn,Shamsabad,Fars | Iran,-4799,-4499,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hphts,Lapui,Fars | Iran,-3899,-3399,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hw7jp,Kaftari,Fars | Iran,-2199,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hzbdq,Middle Kaftari,Fars | Iran,-1899,-1799,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hf9n7,Late Kaftari,Fars | Iran,-1799,-1599,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hmzr5,Qaleh,Fars | Iran,-1599,-1349,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hh43m,Salghurid dynasty,"Fars, southern Iran; Persia | Iran",1148,1282,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h2njg,Burgundian,Gaul | France,0401,0539,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
