Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
GEOMETRYCOLLECTION (POINT (35.252492 31.794275)),"2018-06-23, 2018-06-23","None, None","None, None",,EAMENA-0186493,,Possible,Not Applicable,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2001-01-01, 2001-01-01","2018-01-01, 2018-01-01",,,"None, None","2001-01-01, 2001-01-01","2018-01-01, 2018-01-01",,,,,Construction,,,"None, None",Negative/Cut/Dug Feature,Circular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, High",,,"Natural, Agricultural/Pastoral",1,"Government Authority/Staff, Government Authority/Staff",,Unknown,Hydrological,"Covered, Compacting",,,High,,,,,,,,,,,Cistern,High,Circular,"Palestine, State of",,Definite,Pit/Shaft/Tunnel,"None, None","High, High",,,Archaeological Site,,"d6be2231-b7fb-464b-ada0-91deb875b79f, CPF Palestine Training",High,,,,None,,,Definite,"Water Action, Road/Track",High,E35N31-34,,Building and Development,,,,,,,"Jabal el-Masharef, Mount Scopus, جبل المشارف",Slopes,11-30%,,,"Old ArchesID, Comments","Designation, Toponym, Toponym",,None,"None, None",,,,,,b05f905f-97f2-4255-831a-5ed02d0f56a3
"GEOMETRYCOLLECTION (POLYGON ((35.15231 31.845946, 35.153311 31.846053, 35.153326 31.846248, 35.152385 31.846228, 35.152271 31.846223, 35.15231 31.845946)))","2018-12-01, 2018-12-01","2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01","None, None, None, None, None, None, None, None, None, None, None",,EAMENA-0186195,,"Planned, Planned, Probable, Planned, Planned, Probable, Planned, Probable, Planned, Planned, Planned, Probable","Definite, Definite, Definite, Probable","Clustered, Dispersed, Clustered","51 to 100, Unknown, 51 to 100",,"Aya Barakat, Aya Barakat",,"None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None",,,"None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None",,,,,"Animal/Pest Infestation, Construction, Temperature/Humidity Change, Excavation (Hand), Pollution, Vegetation/Crops/Trees, Occupation/Continued Use, Land/Rock Slide, Maintenance/Management Activities, Road/Track, Demolition/Destruction, Clearance (Bulldozing/Levelling)",,,"None, None, None, None, None, None, None, None, None, None, None","Negative/Cut/Dug Feature, Positive/Built Feature, Surface Feature",Rectangular/Square,,"Poor, Very Bad","Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)","Definite, Definite, Definite, High, High, Definite, Definite, High, Definite, Definite, High",,,"Public/Institutional Use, Natural, Funerary/Memorial, Agricultural/Pastoral, Funerary/Memorial, Natural, Public/Institutional Use, Looting/Illegal Activities, Maritime, Natural, Domestic Use","6 to 10, Unknown, Unknown, 21 to 50","Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Domestic, Agricultural/Pastoral, Domestic, Funerary/Memorial","Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Loss/Removal of Archaeological Material, Erosion/Deterioration, Collapse/Structural Damage, Structural Alteration, Relocation of Archaeological Features, Erosion/Deterioration, Collapse/Structural Damage, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Structural Alteration, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Alteration of Terrain, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Structural Alteration, Collapse/Structural Damage, Erosion/Deterioration, Chemical Leaching, Structural Alteration, Collapse/Structural Damage, Erosion/Deterioration, Alteration of Terrain, Loss/Removal of Archaeological Material, Earth Displacement, Alteration of Terrain, Collapse/Structural Damage, Artefact Displacement, Structural Alteration, Collapse/Structural Damage, Erosion/Deterioration, Covered, Structural Alteration, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Alteration of Terrain, Loss/Removal of Archaeological Material",,"Definite, Definite, Probable","Definite, Definite, Definite, Definite",,,,,,,,,,,"House/Dwelling, Production/Processing (Agricultural), Grove/Garden/Orchard, Tomb/Grave/Burial","Definite, Definite, Definite","Multiple, Unknown, Multiple","Palestine, State of",,"High, Low, Medium, High","Cave, Plant/Tree, Pit/Shaft/Tunnel","None, None","Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, High, High, High, High, High, High, High, High, High, High, Definite, Definite, Definite, Definite, Definite, Definite, Definite, , High, High, High, High, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, High, High, High, High",,,Archaeological Site,,"10207774-90a8-48b1-8e6b-ed1f7ea87e61, CPF Palestine Training",Low,,,,"None, None, None, None",,,Definite,"Occupation/Continued Use, Land/Rock Slide, Construction, Animal/Pest Infestation, Demolition/Destruction, Temperature/Humidity Change, Pollution, Excavation (Hand), Road/Track, Vegetation/Crops/Trees, Excavation (Bulldozing/Machinery)",Definite,E35N31-33,"Roman Imperial (Levant/Mesopotamia), Islamic, Late (Ottoman) (Levant/Arabia), Byzantine (Levant/Mesopotamia)","Agricultural/Pastoral, Funerary/Memorial, Natural, Looting/Illegal Activities, Public/Institutional Use, Natural, Utilities, Natural, Funerary/Memorial, Infrastructure/Transport, Funerary/Memorial, Domestic Use",,,,,,,مقبرة/بيت اجزا,Plain/Plateau,31-60%,,,"Old ArchesID, Comments",Toponym,,None,"2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01, 2018-12-01",,,,,,9f3b2c61-de76-4064-bea3-752624749083
"GEOMETRYCOLLECTION (POLYGON ((35.073322 31.598326, 35.072794 31.598293, 35.073081 31.597566, 35.073468 31.597566, 35.073871 31.597931, 35.073322 31.598326)))",2018-05-23,,,,EAMENA-0186199,,,Not Applicable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"a6ec1f4a-b8f3-4845-b0ef-bf9f59137633, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Negligible,E35N31-32,,,,,,,,,"Khirbet Kazabar, خربة كزبر",Plain/Plateau,,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,fba51c65-37fa-4c40-bb7c-dce44dec86cc
"GEOMETRYCOLLECTION (POLYGON ((35.139715 32.271587, 35.138492 32.27175, 35.137462 32.271451, 35.136882 32.27077, 35.136625 32.270035, 35.137719 32.269137, 35.138653 32.269137, 35.139715 32.2696, 35.140455 32.270308, 35.140487 32.271124, 35.139715 32.271587)))",2019-09-30,,,,EAMENA-0186198,,,Probable,,,,Moath Jbara,,,,,,,,,,,,,,,,,Positive/Built Feature,Circular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Domestic,,,Probable,High,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"a69ae865-4eae-4215-b670-e84cce815a18, CPF Palestine Training",High,,,,None,,,High,,High,E35N32-11,Roman Imperial (Levant/Mesopotamia),,,,,,,,خربة راس الشامي',Summit,,,,"Old ArchesID, Comments",,,None,,,,,,,1b6ff809-bcd9-430b-a6d4-7c97ec0cb330
GEOMETRYCOLLECTION (POINT (35.165847 31.640648)),2018-10-30,,,,EAMENA-0186197,,,Not Applicable,,,,Abed Assaf,,,,,,,,,,,,,,,,,Negative/Cut/Dug Feature,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Agricultural/Pastoral,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"a6772944-9f88-4876-97f6-97ae1e6b35a1, CPF Palestine Training",Medium,,,,None,,,Medium,,Medium,E35N31-31,,,,,,,,,ام سلمونه',Precipice/Edge,,,,"Old ArchesID, Comments",,,None,,,,,,,ffee89ef-bd50-4688-bfc0-a58fde139db9
GEOMETRYCOLLECTION (POINT (35.164298 31.927335)),2018-10-10,,,,EAMENA-0186201,,,Not Applicable,,,,Faten Ali,,,,,,,,,,,,,,,,,Surface Feature,Polygonal,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"a770a3dd-e7e4-44fd-a951-92888a3c8c82, CPF Palestine Training",Low,,,,None,,,Medium,,Medium,E35N31-33,,,,,,,,,khirbaht alqaser,Slopes,,,,"Old ArchesID, Comments",Alternative Reference,,None,,,,,,,2454e1c1-a4da-40ba-9f33-0fcbbfddd0ca
GEOMETRYCOLLECTION (POINT (35.257952 32.38625)),,,,,EAMENA-0186196,,,,,,,,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palestine, State of",,,,,,,,Archaeological Site,,"a676d1ed-1d6f-43c2-9eb1-d1b0def9b47b, CPF Palestine Training",Definite,,,,,,,Definite,,Definite,E35N32-14,,,,,,,,,"Jarba, الجربة",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,cf2ce547-2e08-4668-ba4e-8ef40045515c
"GEOMETRYCOLLECTION (POLYGON ((35.159926 32.399249, 35.16014 32.399358, 35.160312 32.399738, 35.160376 32.400254, 35.160333 32.400716, 35.160248 32.400898, 35.160194 32.401033, 35.159969 32.40116, 35.159754 32.401287, 35.159518 32.401332, 35.159207 32.401332, 35.158574 32.401269, 35.158037 32.401079, 35.157866 32.400798, 35.157876 32.400345, 35.158037 32.399955, 35.158166 32.399611, 35.158542 32.399412, 35.15896 32.399276, 35.159389 32.399176, 35.159926 32.399249)))","2018-12-28, 2018-12-28","2018-12-28, 2004-12-31","None, None",,EAMENA-0186202,,"Probable, Probable","Probable, Probable, Probable, Definite, Probable, Probable","Isolated, Concentric, Dispersed","11 to 20, 2 to 5, 11 to 20",,"Mohamad Al Atari, Mohamad Al Atari",,"None, None","None, None",,,"None, None","None, None","None, None",,,,,"Clearance (Bulldozing/Levelling), Excavation (Hand)",,,"None, None","Negative/Cut/Dug Feature, Positive/Built Feature",Semi-circular,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Definite, High",,,"Looting/Illegal Activities, Agricultural/Pastoral","11 to 20, 2 to 5, 11 to 20","Government Authority/Staff, Government Authority/Staff",,"Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia)",Domestic,"Loss/Removal of Archaeological Material, Loss/Removal of Archaeological Material",,"Probable, Probable, Definite, Probable, Probable, Probable",Medium,,,,,,,,,,,"Well, Building, Cemetery","High, High, Medium","Circular, Rectangular/Square, Semi-circular","Palestine, State of",,"High, High, High","Pit/Shaft/Tunnel, Structure, Cave","None, None","Definite, High",,,Archaeological Site,,"a77baf62-d3a9-4a56-923b-239ec52b89b9, CPF Palestine Training",Medium,,,,"None, None, None, None, None, None",,,Definite,"Excavation (Hand), Clearance (Unclassified)",Definite,E35N32-13,"Byzantine (Levant/Mesopotamia), Islamic, Late (Ottoman) (Levant/Arabia), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia), Roman Imperial (Levant/Mesopotamia), Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)","Agricultural/Pastoral, Looting/Illegal Activities",,,,,,,"خربة طبرس الفوقا, Ṭubrus",Slopes,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"2018-12-28, 2004-12-31",,,,,,6b6669c9-54a2-4884-8d64-31fc51389ffd
"GEOMETRYCOLLECTION (POLYGON ((35.017666 31.434138, 35.016979 31.434091, 35.016581 31.434196, 35.015785 31.434185, 35.014082 31.43347, 35.01317 31.43164, 35.014782 31.429416, 35.017611 31.429357, 35.018778 31.430775, 35.019102 31.431448, 35.01879 31.431922, 35.019061 31.432186, 35.018773 31.432473, 35.018119 31.433493, 35.018006 31.433608, 35.017991 31.434183, 35.017666 31.434138)))",2018-02-07,,,,EAMENA-0186204,,Probable,"Probable, Definite",Isolated,1,,Ibraheem Hawmdeh,,,,,None,,,,,,,,Excavation (Bulldozing/Machinery),,,,Unknown,Irregular,,Good,Archaeological Assessment/Ground Survey,,,,,1,Government Authority/Staff,,"Unknown, Bronze Age (Levant)","Domestic, Domestic",,,,"High, High",,,,,,,,,,,Production/Processing (Agricultural),High,Irregular,"Palestine, State of",,Medium,Large Mound,None,,,,"Archaeological Site, Archaeological Site",,"a7db6b3a-2a10-4dde-b22b-f017ef6d1bde, CPF Palestine Training, <p>خربة رابود ن اهم المواقع التي&nbsp;</p>
",Definite,,,,"None, مقالات منشوره",ibraheem,,Definite,,Definite,E35N31-13,,Agricultural/Pastoral,,,,Immediate Action (Emergency),,National Register,"kherbet rabod, kherbt rabood ",Slopes,11-30%,,2018-12-31,"Old ArchesID, Comments, General Description","Toponym, Toponym",,None,,,,,,,697039e7-1cf2-4b2b-9d9a-fa3ea5e155a0
GEOMETRYCOLLECTION (POINT (35.461562 31.756779)),"2018-05-27, 2018-05-27","None, None","None, 1994-01-01",,EAMENA-0186203,,"Possible, Probable","Probable, Probable",Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, None","2018-01-01, None",,,"None, 1994-01-01","2004-01-01, None","2018-01-01, None",,,,,"Construction, Water Action",,,"None, None",Positive/Built Feature,Irregular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, Definite",,,"Natural, Archaeological",1,"Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Contemporary Islamic (MENA)","Domestic, Religious","Covered, Compacting, Artefact Displacement",,"Probable, Probable","High, High",,,,,,,,,,,House/Dwelling,Definite,Irregular,"Palestine, State of",,High,Cave,"None, None","Medium, Medium, Medium",,,Archaeological Site,,"a78b6a77-6082-428e-b0c2-c183b4952cb0, CPF Palestine Training",High,,,,"None, None",,,Definite,"Water Action, Excavation (Hand)",High,E35N31-34,"Byzantine (Levant/Mesopotamia), Contemporary Islamic, Early 20th century (MENA)","Military/Armed Conflict, Natural",,,,,,,"Cave of John, Qumran, قمران",Watercourse Banks,11-30%,,,"Old ArchesID, Comments","Designation, Toponym, Toponym",,None,"None, None",,,,,,8a95b7a1-4afa-46e6-964c-0d9a802950c3
"GEOMETRYCOLLECTION (POLYGON ((35.275682 31.701469, 35.276204 31.701699, 35.275553 31.702133, 35.275135 31.701407, 35.275682 31.701469)))",2018-05-18,,,,EAMENA-0186206,,,Not Applicable,,,,Eman Titi,,,,,,,,,,,,,,,,,"Negative/Cut/Dug Feature, Positive/Built Feature",Sub-rectangular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Agricultural/Pastoral,,,,High,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"10412aea-8451-46a7-b881-bcac8290aa69, CPF Palestine Training",Medium,,,,None,,,High,,High,E 35. 2758 N 31. 7017,,,,,,,,,KIRBET AM-KUNFUS,Plain/Plateau,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,b618af8b-48d1-45fb-9242-e1973ff6a8aa
"GEOMETRYCOLLECTION (POLYGON ((35.036536 31.60718, 35.036287 31.607173, 35.036085 31.607005, 35.036004 31.606658, 35.037193 31.606395, 35.037308 31.606895, 35.036536 31.60718)))",2018-05-23,,,,EAMENA-0186210,,,Probable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Positive/Built Feature,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Islamic (Levant/Arabia),"Public/Institutional, Domestic, Religious",,,Probable,"Low, High, High",,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"a8db7f52-ee0f-4189-9ead-2317e4a5a433, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Medium,E35N31-32,"Islamic, Late (Ottoman) (Levant/Arabia)",,,,,,,,"Khirbet Nuba, بلدة نوبا القديمة",Plain/Plateau,,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,e51cc839-723a-4b60-b283-b881ee14345a
GEOMETRYCOLLECTION (POINT (37.991057 32.231687)),"2018-10-17, 2018-10-17",2018-10-17,None,,EAMENA-0186205,,Possible,Not Applicable,Unknown,Unknown,,"Mohammad Tuhimer, Mohammad Tuhimer",,None,None,,,None,None,None,,,,,Construction,,,None,Negative/Cut/Dug Feature,Unknown,,Unknown,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Not Applicable,,,Unknown,Unknown,"Government Authority/Staff, Government Authority/Staff",,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,Unknown,Low,Irregular,Jordan,,Not Applicable,Colour/Texture Difference,"None, None",,,,Archaeological Site,,"a7dd9d87-594f-4f0c-aa0b-59c8b7a673b0, CPF Palestine Training",Low,,,,None,,,Low,Unknown,Low,E37N32-22,,Maritime,,,,,,,,Plain/Plateau,Unknown,,,"Old ArchesID, Comments",,,None,2018-10-17,,,,,,7f7d1047-abb2-4364-bbf8-1116d81a4940
"GEOMETRYCOLLECTION (POLYGON ((34.466327 31.496125, 34.467786 31.496637, 34.468386 31.495777, 34.46918 31.496235, 34.470361 31.496948, 34.471069 31.497259, 34.472549 31.497515, 34.473365 31.497662, 34.473493 31.498009, 34.472635 31.498851, 34.473214 31.498942, 34.474159 31.49865, 34.476369 31.497698, 34.477055 31.497387, 34.478793 31.496985, 34.479244 31.49693, 34.480682 31.496802, 34.482506 31.496363, 34.482978 31.496747, 34.48448 31.497881, 34.48551 31.498961, 34.485789 31.499253, 34.484566 31.499802, 34.483579 31.500315, 34.482785 31.500808, 34.482098 31.501357, 34.481304 31.501742, 34.480381 31.501778, 34.479308 31.501815, 34.478407 31.502364, 34.47727 31.503059, 34.475832 31.503754, 34.474438 31.504486, 34.473408 31.505016, 34.472678 31.505949, 34.471369 31.50659, 34.470876 31.50701, 34.471391 31.507724, 34.471541 31.508694, 34.470811 31.508712, 34.469245 31.508895, 34.468751 31.508913, 34.467936 31.509297, 34.467078 31.508913, 34.467078 31.508565, 34.467593 31.508145, 34.467013 31.507486, 34.467678 31.507029, 34.46712 31.506663, 34.466348 31.506462, 34.465769 31.506462, 34.465039 31.506645, 34.464417 31.506992, 34.463837 31.507376, 34.463408 31.507431, 34.463215 31.507175, 34.4624 31.507815, 34.461584 31.50862, 34.461069 31.509114, 34.460318 31.508639, 34.459439 31.5082, 34.459052 31.508145, 34.457894 31.508785, 34.457078 31.507907, 34.45622 31.507084, 34.455791 31.50659, 34.454224 31.504943, 34.45283 31.503846, 34.452701 31.503626, 34.45416 31.503077, 34.456628 31.502327, 34.45755 31.501961, 34.457808 31.502199, 34.458881 31.501687, 34.460769 31.500223, 34.460275 31.499711, 34.459503 31.498979, 34.458645 31.497771, 34.458838 31.497113, 34.466327 31.496125)))","2018-08-27, 2018-08-27","None, None, None","None, None, None",,EAMENA-0186207,,"Probable, Probable, Planned, Planned, Probable","Definite, Definite, Definite, Definite, Definite, Definite, Probable, Definite, Definite, Definite, Definite","Dispersed, Adjoining, Adjoining, Adjoining","Unknown, 500+, Unknown, 500+",,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, 2004-01-01, 2004-01-01","2018-01-01, 2018-01-01, 2018-01-01",,,"None, None, None","2004-01-01, 2004-01-01, 2004-01-01","2018-01-01, 2018-01-01, 2018-01-01",,,,,"Maintenance/Management Activities, Drilling, Occupation/Continued Use, Occupation/Continued Use, Construction",,,"None, None, None",Positive/Built Feature,Irregular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, High, High",,,"Infrastructure/Transport, Domestic Use, Domestic Use","Unknown, 1, 2 to 5, 2 to 5, 2 to 5, 2 to 5, 2 to 5, 2 to 5, 2 to 5, 500+, Unknown","Government Authority/Staff, Government Authority/Staff",,"Bronze Age (Levant), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Bronze Age (Southern Mesopotamia), Islamic (Levant/Arabia), Islamic (Levant/Arabia), Islamic (Levant/Arabia), Islamic (Levant/Arabia)","Hydrological, Industrial/Productive, Domestic, Agricultural/Pastoral, Public/Institutional, Funerary/Memorial, Trade/Commercial","Covered, Compacting, Covered, Earth Displacement, Relocation of Archaeological Features, Structural Alteration, Collapse/Structural Damage, Relocation of Archaeological Features, Compacting",,"Definite, Definite, Definite, Definite, Definite, Probable, Definite, Definite, Definite, Definite","High, Definite, Definite, High, Definite, Definite, Definite",,,,,,,,,,,"Building, Settlement/Habitation Site, Church/Chapel, Mosque/Imam/Marabout, Market/Commercial Unit, Government/Administrative Building, Temple/Sanctuary/Shrine, Cemetery, Mosque/Madrasa Complex, House/Dwelling, Road/Track","High, Definite, Definite, Definite","Polygonal, Sub-rectangular, Rectangular/Square, Rectangular/Square","Palestine, State of",,"High, Definite, High, Definite, Definite, High, High, Definite, High, High, Definite","Multi-Component, Pit/Shaft/Tunnel, Paved/Laid Surface, Structure","None, None","High, High, High, High, High, High, High, High, High",,,Archaeological Site,,"a803ef0c-822a-4fac-b7a2-bdd90d6f65fa, CPF Palestine Training",High,,,,"None, None, None, None, None, None, None, None, None, None, None",,,Definite,"Road/Track, Construction, Occupation/Continued Use",High,E34N31-32,"Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran), Roman Imperial (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Byzantine (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Bronze Age, Middle Babylonian (Southern Mesopotamia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia), Islamic, Late (Ottoman) (Levant/Arabia)","Domestic Use, Infrastructure/Transport, Domestic Use, Tourism/Visitor Activities, Domestic Use",,,,,,,"Gaza Old City, غزة البلدة القديمة",Plain/Plateau,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None, None",,,,,,17438d03-5ec7-48ac-8633-bd9587ad64c2
"GEOMETRYCOLLECTION (POLYGON ((35.382212 32.368966, 35.381815 32.369102, 35.380388 32.369156, 35.379702 32.368984, 35.379487 32.368875, 35.379369 32.368631, 35.379509 32.368268, 35.380142 32.367752, 35.380635 32.367371, 35.381161 32.366963, 35.381976 32.36719, 35.382244 32.367598, 35.382223 32.368051, 35.382223 32.368513, 35.382212 32.368966)))",,,,,EAMENA-0186208,,,,,,,,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palestine, State of",,,,,,,,Archaeological Site,,"a87eb095-8028-48e8-af0b-10ab32fa9fe3, CPF Palestine Training",Definite,,,,,,,Definite,,Definite,E35N32-14,,,,,,,,,"Kh. Qrud, خربة بسم الله الرحمن الرحيم",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,b1b3974a-e3a0-4da6-8422-a3df2dff10d7
