PRIMARY.NAME,ARCHES.ID,NAME.E41,NAME_TYPE.E55,GEOMETRIC_PLACE_EXPRESSION.SP5,LOCATION_CERTAINTY.I6,HERITAGE_CLASSIFICATION_TYPE.E55,SITE_OVERALL_SHAPE_TYPE.E55,MEASUREMENT_UNIT.E58,MEASUREMENT_NUMBER.E60,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,TOPOGRAPHY_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,INVESTIGATOR_NAME.E41,INVESTIGATOR_ROLE_TYPE.E55,ASSESSMENT_ACTIVITY_TYPE.E55,ASSESSMENT_ACTIVITY_DATE.E49,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,MODIFICATION_TYPE.E55,MODIFICATION_DATE.E49,MODIFICATION_DESCRIPTION.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,CONSTRUCTION_NOTE.E62,EFFECT_TYPE.S9,DAMAGE_TREND_TYPE.E55,OVERALL_DAMAGE_SEVERITY_TYPE.E55,RECOMMENDATION_TYPE.E55,INTERVENTION_ACTIVITY_TYPE.E55,PRIORITY_TYPE.E55,VULNERABILITY_TYPE.E55,THREAT_PROBABILITY_TYPE.E55,RISK_EXTENT_TYPE.E55,RISK_SEVERITY_TYPE.E55,RISK_LEVEL.I4,RISK_LEVEL_CERTAINTY.I6,MITIGATION_STRATEGY_TYPE.E55,MITIGATION_PRIORITY_TYPE.E55,OVERALL_CONDITION_TYPE.E55,OVERALL_PRIORITY_TYPE.E55,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION_REMARKS_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,ARCHAEOLOGICAL_FROM_DATE.E61,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,MEASUREMENT_NUMBER.E60,MEASUREMENT_UNIT.E58,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,SITE_OVERALL_SHAPE_TYPE.E55,TOPOGRAPHY_TYPE.E55,COUNTRY_TYPE.E55,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,HERITAGE_CLASSIFICATION_TYPE.E55
EAMENA-F-0000011,41bcef74-30c8-49b9-b553-a59b1fd23ebc,,,"{u'type': u'Point', u'coordinates': [35.87965098406912, 32.49088017434967]}",Low,Individual Feature; Individual Feature,,,,,,,,Unknown,Unknown,Not Applicable,Tomb/Grave/Burial,Medium,Funerary/Memorial,Medium,General Description,عباره عن مقبره على تل,awni.tashtoosh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-04T00:00:00,Unknown; Unknown,,,,,,,,,Collapse/Structural Damage,Disturbance Increasing,Slight Damage ,Remedial Conservation (Other),"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),,,,,,,,,Unknown,Unknown,,,Unknown,Unknown,Not Applicable,,Funerary/Memorial,Medium,Tomb/Grave/Burial,Medium,Awni Tashtoosj,,,,,,,,,Unknown; Unknown,,,,General Description,عباره عن مقبره على تل,Individual Feature; Individual Feature
EAMENA-F-0000012,43544442-c191-41e0-8831-066e710a35b6,inscription,Designation,"{u'type': u'Point', u'coordinates': [35.41037333822322, 29.570680137588482]}",High,Group of Features; Group of Features,User defined,square metres (m2),7.0,breadth/width,Field Survey/Excavation; Field Survey/Excavation,,Valley Terrace,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Nabataean (Levant/Northern Arabia),Definite,Well,High,Trade/Commercial,High,,,MAHER ALAMREEN,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-04T00:00:00,Not Applicable; Not Applicable; Vacant / Not in use; Vacant / Not in use,Other; Other,2019-11-04T00:00:00; 2019-11-04T00:00:00,2019-11-04T00:00:00; 2019-11-04T00:00:00,,,,,,,,,,,,,,,,,,,,Fair,Within 2 to 5 Years  ,,Priority Assignment Remarks,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Nabataean (Levant/Northern Arabia),Definite,2019-11-04,Trade/Commercial,High,Well,High,MAHER ALAMREEN,7.0,square metres (m2),breadth/width,Field Survey/Excavation; Field Survey/Excavation,,User defined,Valley Terrace,Jordan,Not Applicable; Not Applicable; Vacant / Not in use; Vacant / Not in use,Other; Other,2019-11-04T00:00:00; 2019-11-04T00:00:00,2019-11-04T00:00:00; 2019-11-04T00:00:00,,,Group of Features; Group of Features
EAMENA-F-0000013,0399de79-d444-47bc-98ea-4598227ed972,Bath,Designation,"{u'type': u'Polygon', u'coordinates': [[[35.892218995192984, 32.29889613037105], [35.89242284307811, 32.29886892400873], [35.89241211424205, 32.29871022006563], [35.892218995192984, 32.2987328920745], [35.892218995192984, 32.29889613037105]]]}",Definite,Individual Feature; Individual Feature,Rectangular/Square,,,,,,Slopes,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman/Byzantine (Levant/Mesopotamia),Definite,Bath-house,Definite,Entertainment/Leisure,Definite,,,Mohamad Atoom,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-04T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Destroyed,Within 6 Months to a Year ,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman/Byzantine (Levant/Mesopotamia),Definite,,Entertainment/Leisure,Definite,Bath-house,Definite,Mohamad Atoom,,,,,,Rectangular/Square,Slopes,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000014,85042e06-3020-4d03-8f3b-cb017bef0042,قبة,Designation,"{u'type': u'Point', u'coordinates': [35.705548743366975, 31.18537672780397]}",Definite,Individual Feature; Individual Feature,Circular,,,,,,Unknown,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,Significant Building,Definite,Religious,Definite,,,Hamzeh Aljarajreh,Government Authority/Staff,Condition Assessment,2019-11-04T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Priority Assignment Remarks,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,1883-01-01T00:00:00,Religious,Definite,Significant Building,Definite,Hamzeh Aljarajreh,,,,,,Circular,Unknown,Jordan,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000015,c94ffb96-0ec6-4ab9-a5b2-3838a2065e97,,,,,,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Desk-based Assessment,2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMENA-F-0000017,dfec8e88-8cc5-434c-947f-978688fc150d,,,"{u'type': u'Point', u'coordinates': [35.85876572927679, 32.47864419934261]}; {u'type': u'Polygon', u'coordinates': [[[35.85829366049017, 32.47774816998323], [35.85773576101507, 32.477693864886916], [35.857907422392024, 32.477449491548015], [35.85847605070318, 32.47751284766255], [35.85829366049017, 32.47774816998323]]]}",Low; Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,awni.tashtoosh,Government Authority/Staff,Desk-based Assessment,2019-11-04T00:00:00,Unknown; Unknown,,,,,,,,,Unknown,Unknown,Slight Damage ,Field Observation,Preventative and Mitigation Activities,High (Within 1 to 2 years),,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000018,c710882a-27c0-463e-a7e2-7bcceb2c8105,church,Toponym,"{u'type': u'Point', u'coordinates': [35.93093469795646, 31.85795193626764]}",High,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mohammad mubarak,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-04,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Beyond 5 Years ,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000019,7de1976a-23f5-4253-968e-18f20f5467b5,Theater,Designation,"{u'type': u'Polygon', u'coordinates': [[[35.89246575842232, 32.29899588696311], [35.89249258051247, 32.299315560757066], [35.89239602098794, 32.29933143105791], [35.892326283553544, 32.29932236231491], [35.89229141483635, 32.29931329357103], [35.89226995716424, 32.299290621707314], [35.89224313507408, 32.299245277962925], [35.89222167740196, 32.29919539981783], [35.89221631298393, 32.29912738412125], [35.89222704182, 32.29908430748702], [35.89224849949212, 32.29904123083229], [35.89230750809044, 32.29900722293252], [35.892371881106804, 32.29900042135104], [35.89244966516823, 32.29899361976905], [35.89246575842232, 32.29899588696311]]]}",Definite,Individual Feature; Individual Feature,Semi-circular,,,,,,Slopes,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (Levant/Mesopotamia),Definite,Theatre/Odeon,Definite,Entertainment/Leisure,Definite,,,Mohamad Atoom,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-04T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Within 2 to 5 Years  ,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (Levant/Mesopotamia),Definite,,Entertainment/Leisure,Definite,Theatre/Odeon,Definite,Mohamad Atoom,,,,,,Semi-circular,Slopes,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000020,8a3e8c37-ce2c-4cf7-97e0-5e169877116d,water structure,Toponym,,,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Mohammad al tarawneh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Group of Features; Group of Features
EAMENA-F-0000021,4ac34463-befb-4f23-aa9b-060e60748f81,building,Toponym,"{u'type': u'Point', u'coordinates': [35.93172326740683, 31.85743251453316]}",Medium,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mohammad mubarak,Government Authority/Staff,Aerial Survey,2019-11-04,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000022,e5f39359-3578-49f7-b6d9-fbc4bfc4434e,بيت الامام ,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.70577834055688, 31.1856686032214], [35.70566890646181, 31.185675945941355], [35.70565817762576, 31.185521747862524], [35.705765465986346, 31.18551256939503], [35.70577834055688, 31.1856686032214]]]}",,Individual Feature; Individual Feature,Sub-rectangular,,,,,,Plain/Plateau,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,House/Dwelling,Definite,Domestic,Definite,,,HamzehAljarajreh,Government Authority/Staff,Condition Assessment,2019-11-04T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Overall Condition Additional Remarks,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,,Domestic,Definite,House/Dwelling,Definite,Hamzeh Aljarajreh,,,,,,Sub-rectangular,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000023,fa649434-93d3-4d77-9594-71320eeaacbf,cairn,Toponym,,,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Samar,Government Authority/Staff,Desk-based Assessment,2019-11-04,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 1 to 2 Years  ,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000024,e9e8719e-3253-4b43-907a-f1bd48611ccc,بيت المؤذن,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.705454329740625, 31.18554377612486], [35.70546505857668, 31.18569063144956], [35.70534060401291, 31.185701645631752], [35.705327729442374, 31.185556625988866], [35.705454329740625, 31.18554377612486]]]}",Definite,Individual Feature; Individual Feature,Sub-rectangular,,,,,,Plain/Plateau,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,House/Dwelling,Definite,Domestic,Definite,,,Hamzeh Aljarajreh,Government Authority/Staff,Condition Assessment,2019-11-04T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Overall Condition Additional Remarks,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,,Domestic,Definite,House/Dwelling,Definite,Hamzeh Aljarajreh,,,,,,Sub-rectangular,Plain/Plateau,Jordan,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000025,712c7234-d1c2-4ab3-a0d5-3b65eae7551b,stylite tower ,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.92342357088251, 31.509195080548565]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Mariam Ibrahim ,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-04,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000026,2ee54ce9-dac9-45b5-bca8-ba4dd0f43b02,Roman Fort,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.919279557954376, 31.50027410477402], [35.919022065888946, 31.49906658609322], [35.92058847595364, 31.49890192324665], [35.92078159500272, 31.500091148400557], [35.919279557954376, 31.50027410477402]]]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mohammad mubarak,Government Authority/Staff,Aerial Survey,2019-11-04,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
